spp,CommonName,Source,PrimerNote,Country,Site,lat_deg,lat_min,lat_sec,lon_deg,lon_min,lon_sec,CollectionYear,NumMarker,MarkerName,CrossSpp,n,Repeat,He,Hese,Notes
Electrona antarctica,,A.P. Van de Putte et al. (2012) Deep-Sea Research II: 59–60 199–207,0,Antarctica,"LS062: Lazarev Sea, South",-67.43,,,0.8,,,2006,1,Elan009,0,33,2,0.922,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Electrona antarctica,,A.P. Van de Putte et al. (2012) Deep-Sea Research II: 59–60 199–207,0,Antarctica,"LS062: Lazarev Sea, South",-67.43,,,0.8,,,2006,1,Elan013,0,33,2,0.908,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Electrona antarctica,,A.P. Van de Putte et al. (2012) Deep-Sea Research II: 59–60 199–207,0,Antarctica,"LS062: Lazarev Sea, South",-67.43,,,0.8,,,2006,1,Elan035,0,33,2,0.937,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Electrona antarctica,,A.P. Van de Putte et al. (2012) Deep-Sea Research II: 59–60 199–207,0,Antarctica,"LS062: Lazarev Sea, South",-67.43,,,0.8,,,2006,1,Elan043,0,33,2,0.93,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Electrona antarctica,,A.P. Van de Putte et al. (2012) Deep-Sea Research II: 59–60 199–207,0,Antarctica,BW2: Cosmonaut Sea,-64,,,42.22,,,2006,1,Elan001,0,44,2,0.954,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Electrona antarctica,,A.P. Van de Putte et al. (2012) Deep-Sea Research II: 59–60 199–207,0,Antarctica,BW2: Cosmonaut Sea,-64,,,42.22,,,2006,1,Elan009,0,44,2,0.939,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Electrona antarctica,,A.P. Van de Putte et al. (2012) Deep-Sea Research II: 59–60 199–207,0,Antarctica,BW2: Cosmonaut Sea,-64,,,42.22,,,2006,1,Elan013,0,44,2,0.92,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Electrona antarctica,,A.P. Van de Putte et al. (2012) Deep-Sea Research II: 59–60 199–207,0,Antarctica,BW2: Cosmonaut Sea,-64,,,42.22,,,2006,1,Elan025,0,44,2,0.908,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Electrona antarctica,,A.P. Van de Putte et al. (2012) Deep-Sea Research II: 59–60 199–207,0,Antarctica,BW2: Cosmonaut Sea,-64,,,42.22,,,2006,1,Elan035,0,44,2,0.918,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Electrona antarctica,,A.P. Van de Putte et al. (2012) Deep-Sea Research II: 59–60 199–207,0,Antarctica,BW2: Cosmonaut Sea,-64,,,42.22,,,2006,1,Elan043,0,44,2,0.945,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Electrona antarctica,,A.P. Van de Putte et al. (2012) Deep-Sea Research II: 59–60 199–207,0,Antarctica,BW2: Cosmonaut Sea,-64,,,42.22,,,2006,1,Elan114,0,44,2,0.872,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Electrona antarctica,,A.P. Van de Putte et al. (2012) Deep-Sea Research II: 59–60 199–207,0,Antarctica,BW3: Cooperation Sea,-63.59,,,68.08,,,2006,1,Elan001,0,41,2,0.941,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Electrona antarctica,,A.P. Van de Putte et al. (2012) Deep-Sea Research II: 59–60 199–207,0,Antarctica,BW3: Cooperation Sea,-63.59,,,68.08,,,2006,1,Elan009,0,41,2,0.929,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Electrona antarctica,,A.P. Van de Putte et al. (2012) Deep-Sea Research II: 59–60 199–207,0,Antarctica,BW3: Cooperation Sea,-63.59,,,68.08,,,2006,1,Elan013,0,41,2,0.916,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Electrona antarctica,,A.P. Van de Putte et al. (2012) Deep-Sea Research II: 59–60 199–207,0,Antarctica,BW3: Cooperation Sea,-63.59,,,68.08,,,2006,1,Elan035,0,41,2,0.943,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Electrona antarctica,,A.P. Van de Putte et al. (2012) Deep-Sea Research II: 59–60 199–207,0,Antarctica,BW3: Cooperation Sea,-63.59,,,68.08,,,2006,1,Elan043,0,41,2,0.958,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Trematomus newnesi,Dusky rockcod,Anton P. Van de Putte et al. (2012) Marine Genomics 8: 23–34,0,Antarctica,CH: Cape Hallett,-72.757939,,,171.246066,,,2004,1,Trne020,0,30,2,0.897,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Trematomus newnesi,Dusky rockcod,Anton P. Van de Putte et al. (2012) Marine Genomics 8: 23–34,0,Antarctica,CH: Cape Hallett,-72.757939,,,171.246066,,,2004,1,Trne035,0,30,2,0.861,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Trematomus newnesi,Dusky rockcod,Anton P. Van de Putte et al. (2012) Marine Genomics 8: 23–34,0,Antarctica,CH: Cape Hallett,-72.757939,,,171.246066,,,2004,1,Trne037,0,30,2,0.673,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Trematomus newnesi,Dusky rockcod,Anton P. Van de Putte et al. (2012) Marine Genomics 8: 23–34,0,Antarctica,CH: Cape Hallett,-72.757939,,,171.246066,,,2004,1,Trne053,0,30,2,0.846,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Trematomus newnesi,Dusky rockcod,Anton P. Van de Putte et al. (2012) Marine Genomics 8: 23–34,0,Antarctica,CH: Cape Hallett,-72.757939,,,171.246066,,,2004,1,Trne055,0,30,2,0.739,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Trematomus newnesi,Dusky rockcod,Anton P. Van de Putte et al. (2012) Marine Genomics 8: 23–34,0,Antarctica,CH: Cape Hallett,-72.757939,,,171.246066,,,2004,1,Trne066,0,30,2,0.888,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Trematomus newnesi,Dusky rockcod,Anton P. Van de Putte et al. (2012) Marine Genomics 8: 23–34,0,Antarctica,JI: Joinville Island,-63.316141,,,-55.753626,,,2007,1,Trne020,0,49,2,0.933,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Trematomus newnesi,Dusky rockcod,Anton P. Van de Putte et al. (2012) Marine Genomics 8: 23–34,0,Antarctica,JI: Joinville Island,-63.316141,,,-55.753626,,,2007,1,Trne035,0,49,2,0.897,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Trematomus newnesi,Dusky rockcod,Anton P. Van de Putte et al. (2012) Marine Genomics 8: 23–34,0,Antarctica,JI: Joinville Island,-63.316141,,,-55.753626,,,2007,1,Trne037,0,49,2,0.845,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Trematomus newnesi,Dusky rockcod,Anton P. Van de Putte et al. (2012) Marine Genomics 8: 23–34,0,Antarctica,JI: Joinville Island,-63.316141,,,-55.753626,,,2007,1,Trne053,0,49,2,0.895,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Trematomus newnesi,Dusky rockcod,Anton P. Van de Putte et al. (2012) Marine Genomics 8: 23–34,0,Antarctica,JI: Joinville Island,-63.316141,,,-55.753626,,,2007,1,Trne055,0,49,2,0.747,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Trematomus newnesi,Dusky rockcod,Anton P. Van de Putte et al. (2012) Marine Genomics 8: 23–34,0,Antarctica,JI: Joinville Island,-63.316141,,,-55.753626,,,2007,1,Trne066,0,49,2,0.837,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Trematomus newnesi,Dusky rockcod,Anton P. Van de Putte et al. (2012) Marine Genomics 8: 23–34,0,Antarctica,KGI: King George Island,-62.212926,,,-58.342537,,,2007,1,Trne020,0,15,2,0.878,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Trematomus newnesi,Dusky rockcod,Anton P. Van de Putte et al. (2012) Marine Genomics 8: 23–34,0,Antarctica,KGI: King George Island,-62.212926,,,-58.342537,,,2007,1,Trne035,0,15,2,0.829,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Trematomus newnesi,Dusky rockcod,Anton P. Van de Putte et al. (2012) Marine Genomics 8: 23–34,0,Antarctica,KGI: King George Island,-62.212926,,,-58.342537,,,2007,1,Trne037,0,15,2,0.782,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Trematomus newnesi,Dusky rockcod,Anton P. Van de Putte et al. (2012) Marine Genomics 8: 23–34,0,Antarctica,KGI: King George Island,-62.212926,,,-58.342537,,,2007,1,Trne053,0,15,2,0.875,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Trematomus newnesi,Dusky rockcod,Anton P. Van de Putte et al. (2012) Marine Genomics 8: 23–34,0,Antarctica,KGI: King George Island,-62.212926,,,-58.342537,,,2007,1,Trne055,0,15,2,0.847,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Trematomus newnesi,Dusky rockcod,Anton P. Van de Putte et al. (2012) Marine Genomics 8: 23–34,0,Antarctica,SO: South Orkneys,-60.734216,,,-45.344433,,,2006,1,Trne020,0,43,2,0.888,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Trematomus newnesi,Dusky rockcod,Anton P. Van de Putte et al. (2012) Marine Genomics 8: 23–34,0,Antarctica,SO: South Orkneys,-60.734216,,,-45.344433,,,2006,1,Trne037,0,43,2,0.743,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Trematomus newnesi,Dusky rockcod,Anton P. Van de Putte et al. (2012) Marine Genomics 8: 23–34,0,Antarctica,SO: South Orkneys,-60.734216,,,-45.344433,,,2006,1,Trne053,0,43,2,0.868,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Trematomus newnesi,Dusky rockcod,Anton P. Van de Putte et al. (2012) Marine Genomics 8: 23–34,0,Antarctica,SO: South Orkneys,-60.734216,,,-45.344433,,,2006,1,Trne055,0,43,2,0.787,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Trematomus newnesi,Dusky rockcod,Anton P. Van de Putte et al. (2012) Marine Genomics 8: 23–34,0,Antarctica,TA1: Adelie Land I,-66.2,,,136.1833,,,2003,1,Trne020,0,89,2,0.915,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Trematomus newnesi,Dusky rockcod,Anton P. Van de Putte et al. (2012) Marine Genomics 8: 23–34,0,Antarctica,TA1: Adelie Land I,-66.2,,,136.1833,,,2003,1,Trne037,0,89,2,0.797,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Trematomus newnesi,Dusky rockcod,Anton P. Van de Putte et al. (2012) Marine Genomics 8: 23–34,0,Antarctica,TA1: Adelie Land I,-66.2,,,136.1833,,,2003,1,Trne053,0,89,2,0.883,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Trematomus newnesi,Dusky rockcod,Anton P. Van de Putte et al. (2012) Marine Genomics 8: 23–34,0,Antarctica,TA1: Adelie Land I,-66.2,,,136.1833,,,2003,1,Trne055,0,89,2,0.733,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Trematomus newnesi,Dusky rockcod,Anton P. Van de Putte et al. (2012) Marine Genomics 8: 23–34,0,Antarctica,TA1: Adelie Land I,-66.2,,,136.1833,,,2003,1,Trne066,0,89,2,0.872,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Trematomus newnesi,Dusky rockcod,Anton P. Van de Putte et al. (2012) Marine Genomics 8: 23–34,0,Antarctica,TA2: Adelie Land II,-66.2,,,136.1833,,,2005,1,Trne020,0,57,2,0.914,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Trematomus newnesi,Dusky rockcod,Anton P. Van de Putte et al. (2012) Marine Genomics 8: 23–34,0,Antarctica,TA2: Adelie Land II,-66.2,,,136.1833,,,2005,1,Trne035,0,57,2,0.842,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Trematomus newnesi,Dusky rockcod,Anton P. Van de Putte et al. (2012) Marine Genomics 8: 23–34,0,Antarctica,TA2: Adelie Land II,-66.2,,,136.1833,,,2005,1,Trne037,0,57,2,0.835,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Trematomus newnesi,Dusky rockcod,Anton P. Van de Putte et al. (2012) Marine Genomics 8: 23–34,0,Antarctica,TA2: Adelie Land II,-66.2,,,136.1833,,,2005,1,Trne053,0,57,2,0.881,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Trematomus newnesi,Dusky rockcod,Anton P. Van de Putte et al. (2012) Marine Genomics 8: 23–34,0,Antarctica,TA2: Adelie Land II,-66.2,,,136.1833,,,2005,1,Trne055,0,57,2,0.755,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Trematomus newnesi,Dusky rockcod,Anton P. Van de Putte et al. (2012) Marine Genomics 8: 23–34,0,Antarctica,TA2: Adelie Land II,-66.2,,,136.1833,,,2005,1,Trne066,0,57,2,0.864,,Used Google Maps and map of site locations provided in the paper to find the coordinates 
Coris bulbifrons,Doubleheader,Martin H. van der Meer et al. (2012) Conservation Genet Resour 5:363–366,1,Australia,Lord Howe Island,-31.547066,,,159.072267,,,,1,Cb18 1E,0,37,2,0.447,,Used Google Maps and site name to find coordinates
Coris bulbifrons,Doubleheader,Martin H. van der Meer et al. (2012) Conservation Genet Resour 5:363–366,1,Australia,Lord Howe Island,-31.547066,,,159.072267,,,,1,Cb36 1F,0,37,2,0.534,,Used Google Maps and site name to find coordinates
Amphiprion mccullochi,Whitesnout anemonefish,Martin H. van der Meer et al. (2012) PLoS ONE 7(11): e49660 ,0,Australia,ER: Elizabeth Reef,-29.947218,,,159.071477,,,,1,Am1,0,25,2,0.554,,Used Google Maps and site name to find coordinates
Amphiprion mccullochi,Whitesnout anemonefish,Martin H. van der Meer et al. (2012) PLoS ONE 7(11): e49660 ,0,Australia,ER: Elizabeth Reef,-29.947218,,,159.071477,,,,1,Am5,0,25,2,0.868,,Used Google Maps and site name to find coordinates
Amphiprion mccullochi,Whitesnout anemonefish,Martin H. van der Meer et al. (2012) PLoS ONE 7(11): e49660 ,0,Australia,MR: Middleton Reef,-29.45198,,,159.092087,,,,1,Am1,0,33,2,0.528,,Used Google Maps and site name to find coordinates
Amphiprion mccullochi,Whitesnout anemonefish,Martin H. van der Meer et al. (2012) PLoS ONE 7(11): e49660 ,0,Australia,MR: Middleton Reef,-29.45198,,,159.092087,,,,1,Am5,0,29,2,0.826,,Used Google Maps and site name to find coordinates
Amphiprion mccullochi,Whitesnout anemonefish,Martin H. van der Meer et al. (2012) PLoS ONE 7(11): e49660 ,0,Australia,LHI: Lord Howe Island,-31.552884,,,159.061608,,,,1,Am1,0,33,2,0.528,,Used Google Maps and site name to find coordinates
Amphiprion mccullochi,Whitesnout anemonefish,Martin H. van der Meer et al. (2012) PLoS ONE 7(11): e49660 ,0,Australia,LHI: Lord Howe Island,-31.552884,,,159.061608,,,,1,Am4,0,31,2,0.757,,Used Google Maps and site name to find coordinates
Amphiprion mccullochi,Whitesnout anemonefish,Martin H. van der Meer et al. (2012) PLoS ONE 7(11): e49660 ,0,Australia,LHI: Lord Howe Island,-31.552884,,,159.061608,,,,1,Am5,0,29,2,0.826,,Used Google Maps and site name to find coordinates
Amphiprion mccullochi,Whitesnout anemonefish,Martin H. van der Meer et al. (2012) PLoS ONE 7(11): e49660 ,0,Australia,LHIL: Lord Howe Island Lagoon,-31.535105,,,159.066313,,,,1,Am4,0,30,2,0.819,,Used Google Maps and site name to find coordinates
Amphiprion mccullochi,Whitesnout anemonefish,Martin H. van der Meer et al. (2012) PLoS ONE 7(11): e49660 ,0,Australia,LHIL: Lord Howe Island Lagoon,-31.535105,,,159.066313,,,,1,Am5,0,30,2,0.844,,Used Google Maps and site name to find coordinates
Sillago japonica,Japanese sillago,Kanako Ueno et al. (2013) Conservation Genet Resour 5:659–662,1,Japan,Suonada Sound,33.578147,,,131.339543,,,,1,Silj02,0,48,2,0.58,,Used Google Maps and site name to find coordinates
Sillago japonica,Japanese sillago,Kanako Ueno et al. (2013) Conservation Genet Resour 5:659–662,1,Japan,Suonada Sound,33.578147,,,131.339543,,,,1,Silj04,0,48,2,0.88,,Used Google Maps and site name to find coordinates
Sillago japonica,Japanese sillago,Kanako Ueno et al. (2013) Conservation Genet Resour 5:659–662,1,Japan,Suonada Sound,33.578147,,,131.339543,,,,1,Silj08,0,48,2,0.85,,Used Google Maps and site name to find coordinates
Sillago japonica,Japanese sillago,Kanako Ueno et al. (2013) Conservation Genet Resour 5:659–662,1,Japan,Suonada Sound,33.578147,,,131.339543,,,,1,Silj22,0,48,2,0.9,,Used Google Maps and site name to find coordinates
Sillago japonica,Japanese sillago,Kanako Ueno et al. (2013) Conservation Genet Resour 5:659–662,1,Japan,Suonada Sound,33.578147,,,131.339543,,,,1,Silj34,0,48,2,0.78,,Used Google Maps and site name to find coordinates
Sillago japonica,Japanese sillago,Kanako Ueno et al. (2013) Conservation Genet Resour 5:659–662,1,Japan,Suonada Sound,33.578147,,,131.339543,,,,1,Silj38,0,48,2,0.95,,Used Google Maps and site name to find coordinates
Sillago japonica,Japanese sillago,Kanako Ueno et al. (2013) Conservation Genet Resour 5:659–662,1,Japan,Suonada Sound,33.578147,,,131.339543,,,,1,Silj39,0,48,2,0.93,,Used Google Maps and site name to find coordinates
Sillago japonica,Japanese sillago,Kanako Ueno et al. (2013) Conservation Genet Resour 5:659–662,1,Japan,Suonada Sound,33.578147,,,131.339543,,,,1,Silj43,0,48,2,0.94,,Used Google Maps and site name to find coordinates
Sillago japonica,Japanese sillago,Kanako Ueno et al. (2013) Conservation Genet Resour 5:659–662,1,Japan,Suonada Sound,33.578147,,,131.339543,,,,1,Silj50,0,48,2,0.9,,Used Google Maps and site name to find coordinates
Sillago japonica,Japanese sillago,Kanako Ueno et al. (2013) Conservation Genet Resour 5:659–662,1,Japan,Suonada Sound,33.578147,,,131.339543,,,,1,Silj69,0,48,2,0.93,,Used Google Maps and site name to find coordinates
Zearaja chilensis,Yellownose skate,Carolina Vargas-Caro et al. (2017) PLoS ONE 12(2): e0172255,0,Chile,SA: San Antonia,-33.580227,,,-71.729964,,,,1,Zch_MS08,0,154,2,0.528,,Used Google Maps and site name to find coordinates
Zearaja chilensis,Yellownose skate,Carolina Vargas-Caro et al. (2017) PLoS ONE 12(2): e0172255,0,Chile,SA: San Antonia,-33.580227,,,-71.729964,,,,1,Zch_MS13,0,154,2,0.262,,Used Google Maps and site name to find coordinates
Zearaja chilensis,Yellownose skate,Carolina Vargas-Caro et al. (2017) PLoS ONE 12(2): e0172255,0,Chile,SA: San Antonia,-33.580227,,,-71.729964,,,,1,Zch_MS16,0,154,2,0.665,,Used Google Maps and site name to find coordinates
Zearaja chilensis,Yellownose skate,Carolina Vargas-Caro et al. (2017) PLoS ONE 12(2): e0172255,0,Chile,SA: San Antonia,-33.580227,,,-71.729964,,,,1,Zch_MS29,0,154,2,0.647,,Used Google Maps and site name to find coordinates
Zearaja chilensis,Yellownose skate,Carolina Vargas-Caro et al. (2017) PLoS ONE 12(2): e0172255,0,Chile,SA: San Antonia,-33.580227,,,-71.729964,,,,1,Zch_MS31,0,154,2,0.818,,Used Google Maps and site name to find coordinates
Zearaja chilensis,Yellownose skate,Carolina Vargas-Caro et al. (2017) PLoS ONE 12(2): e0172255,0,Chile,VA: Valdivia,-39,52.5,,-73,24,,,1,Zch_MS08,0,154,2,0.437,,
Zearaja chilensis,Yellownose skate,Carolina Vargas-Caro et al. (2017) PLoS ONE 12(2): e0172255,0,Chile,VA: Valdivia,-39,52.5,,-73,24,,,1,Zch_MS13,0,154,2,0.225,,
Zearaja chilensis,Yellownose skate,Carolina Vargas-Caro et al. (2017) PLoS ONE 12(2): e0172255,0,Chile,VA: Valdivia,-39,52.5,,-73,24,,,1,Zch_MS16,0,154,2,0.669,,
Zearaja chilensis,Yellownose skate,Carolina Vargas-Caro et al. (2017) PLoS ONE 12(2): e0172255,0,Chile,VA: Valdivia,-39,52.5,,-73,24,,,1,Zch_MS29,0,154,2,0.625,,
Zearaja chilensis,Yellownose skate,Carolina Vargas-Caro et al. (2017) PLoS ONE 12(2): e0172255,0,Chile,VA: Valdivia,-39,52.5,,-73,24,,,1,Zch_MS31,0,154,2,0.788,,
Zearaja chilensis,Yellownose skate,Carolina Vargas-Caro et al. (2017) PLoS ONE 12(2): e0172255,0,Chile,PM: Puerto Montt,-41,28.4,,-72,56.4,,,1,Zch_MS08,0,154,2,0.49,,
Zearaja chilensis,Yellownose skate,Carolina Vargas-Caro et al. (2017) PLoS ONE 12(2): e0172255,0,Chile,PM: Puerto Montt,-41,28.4,,-72,56.4,,,1,Zch_MS13,0,154,2,0.314,,
Zearaja chilensis,Yellownose skate,Carolina Vargas-Caro et al. (2017) PLoS ONE 12(2): e0172255,0,Chile,PM: Puerto Montt,-41,28.4,,-72,56.4,,,1,Zch_MS16,0,154,2,0.645,,
Zearaja chilensis,Yellownose skate,Carolina Vargas-Caro et al. (2017) PLoS ONE 12(2): e0172255,0,Chile,PM: Puerto Montt,-41,28.4,,-72,56.4,,,1,Zch_MS29,0,154,2,0.355,,
Zearaja chilensis,Yellownose skate,Carolina Vargas-Caro et al. (2017) PLoS ONE 12(2): e0172255,0,Chile,PM: Puerto Montt,-41,28.4,,-72,56.4,,,1,Zch_MS31,0,154,2,0.842,,
Zearaja chilensis,Yellownose skate,Carolina Vargas-Caro et al. (2017) PLoS ONE 12(2): e0172255,0,Chile,AY: Arysen,-45.404867,,,-73.546376,,,,1,Zch_MS08,0,154,2,0.593,,Used Google Maps and site name to find coordinates
Zearaja chilensis,Yellownose skate,Carolina Vargas-Caro et al. (2017) PLoS ONE 12(2): e0172255,0,Chile,AY: Arysen,-45.404867,,,-73.546376,,,,1,Zch_MS13,0,154,2,0.301,,Used Google Maps and site name to find coordinates
Zearaja chilensis,Yellownose skate,Carolina Vargas-Caro et al. (2017) PLoS ONE 12(2): e0172255,0,Chile,AY: Arysen,-45.404867,,,-73.546376,,,,1,Zch_MS16,0,154,2,0.517,,Used Google Maps and site name to find coordinates
Zearaja chilensis,Yellownose skate,Carolina Vargas-Caro et al. (2017) PLoS ONE 12(2): e0172255,0,Chile,AY: Arysen,-45.404867,,,-73.546376,,,,1,Zch_MS29,0,154,2,0.387,,Used Google Maps and site name to find coordinates
Zearaja chilensis,Yellownose skate,Carolina Vargas-Caro et al. (2017) PLoS ONE 12(2): e0172255,0,Chile,AY: Arysen,-45.404867,,,-73.546376,,,,1,Zch_MS31,0,154,2,0.726,,Used Google Maps and site name to find coordinates
Zearaja chilensis,Yellownose skate,Carolina Vargas-Caro et al. (2017) PLoS ONE 12(2): e0172255,0,Chile,PA: Punta Arenas,-53,10.2,,-70,54.5,,,1,Zch_MS08,0,154,2,0.65,,
Zearaja chilensis,Yellownose skate,Carolina Vargas-Caro et al. (2017) PLoS ONE 12(2): e0172255,0,Chile,PA: Punta Arenas,-53,10.2,,-70,54.5,,,1,Zch_MS13,0,154,2,0.406,,
Zearaja chilensis,Yellownose skate,Carolina Vargas-Caro et al. (2017) PLoS ONE 12(2): e0172255,0,Chile,PA: Punta Arenas,-53,10.2,,-70,54.5,,,1,Zch_MS16,0,154,2,0.536,,
Zearaja chilensis,Yellownose skate,Carolina Vargas-Caro et al. (2017) PLoS ONE 12(2): e0172255,0,Chile,PA: Punta Arenas,-53,10.2,,-70,54.5,,,1,Zch_MS29,0,154,2,0.541,,
Zearaja chilensis,Yellownose skate,Carolina Vargas-Caro et al. (2017) PLoS ONE 12(2): e0172255,0,Chile,PA: Punta Arenas,-53,10.2,,-70,54.5,,,1,Zch_MS31,0,154,2,0.786,,
Thunnus thynnus,Atlantic bluefin tuna,A. Vella et al. (2016) J. Appl. Ichthyol. 32: 523–531,0,Turkey,Levantine Sea,36.04255,,,32.540584,,,,1,Ttho-7,0,67,2,0.878,,"Used Google Maps, site name, and map provided by the paper to find coordinates"
Thunnus thynnus,Atlantic bluefin tuna,A. Vella et al. (2016) J. Appl. Ichthyol. 32: 523–531,0,Turkey,Levantine Sea,36.04255,,,32.540584,,,,1,Ttho-4,0,67,2,0.79,,"Used Google Maps, site name, and map provided by the paper to find coordinates"
Thunnus thynnus,Atlantic bluefin tuna,A. Vella et al. (2016) J. Appl. Ichthyol. 32: 523–531,0,Turkey,Levantine Sea,36.04255,,,32.540584,,,,1,Tth217,0,67,2,0.868,,"Used Google Maps, site name, and map provided by the paper to find coordinates"
Thunnus thynnus,Atlantic bluefin tuna,A. Vella et al. (2016) J. Appl. Ichthyol. 32: 523–531,0,Turkey,Levantine Sea,36.04255,,,32.540584,,,,1,Tth4,0,67,2,0.929,,"Used Google Maps, site name, and map provided by the paper to find coordinates"
Thunnus thynnus,Atlantic bluefin tuna,A. Vella et al. (2016) J. Appl. Ichthyol. 32: 523–531,0,Turkey,Levantine Sea,36.04255,,,32.540584,,,,1,Ttho-1,0,67,2,0.651,,"Used Google Maps, site name, and map provided by the paper to find coordinates"
Thunnus thynnus,Atlantic bluefin tuna,A. Vella et al. (2016) J. Appl. Ichthyol. 32: 523–531,0,Turkey,Levantine Sea,36.04255,,,32.540584,,,,1,Tth62,0,67,2,0.862,,"Used Google Maps, site name, and map provided by the paper to find coordinates"
Thunnus thynnus,Atlantic bluefin tuna,A. Vella et al. (2016) J. Appl. Ichthyol. 32: 523–531,0,Turkey,Levantine Sea,36.04255,,,32.540584,,,,1,Tth152,0,67,2,0.275,,"Used Google Maps, site name, and map provided by the paper to find coordinates"
Thunnus thynnus,Atlantic bluefin tuna,A. Vella et al. (2016) J. Appl. Ichthyol. 32: 523–531,0,Turkey,Levantine Sea,36.04255,,,32.540584,,,,1,Tth12-29,0,67,2,0.84,,"Used Google Maps, site name, and map provided by the paper to find coordinates"
Thunnus thynnus,Atlantic bluefin tuna,A. Vella et al. (2016) J. Appl. Ichthyol. 32: 523–531,0,Turkey,Levantine Sea,36.04255,,,32.540584,,,,1,Tth114,0,67,2,0.672,,"Used Google Maps, site name, and map provided by the paper to find coordinates"
Thunnus thynnus,Atlantic bluefin tuna,A. Vella et al. (2016) J. Appl. Ichthyol. 32: 523–531,0,Turkey,Levantine Sea,36.04255,,,32.540584,,,,1,Tth207,0,67,2,0.722,,"Used Google Maps, site name, and map provided by the paper to find coordinates"
Thunnus thynnus,Atlantic bluefin tuna,A. Vella et al. (2016) J. Appl. Ichthyol. 32: 523–531,0,Malta,Pelagian Sea,36.134051,,,14.691761,,,,1,Ttho-7,0,83,2,0.858,,"Used Google Maps, site name, and map provided by the paper to find coordinates"
Thunnus thynnus,Atlantic bluefin tuna,A. Vella et al. (2016) J. Appl. Ichthyol. 32: 523–531,0,Malta,Pelagian Sea,36.134051,,,14.691761,,,,1,Ttho-4,0,83,2,0.8,,"Used Google Maps, site name, and map provided by the paper to find coordinates"
Thunnus thynnus,Atlantic bluefin tuna,A. Vella et al. (2016) J. Appl. Ichthyol. 32: 523–531,0,Malta,Pelagian Sea,36.134051,,,14.691761,,,,1,Tth217,0,83,2,0.879,,"Used Google Maps, site name, and map provided by the paper to find coordinates"
Thunnus thynnus,Atlantic bluefin tuna,A. Vella et al. (2016) J. Appl. Ichthyol. 32: 523–531,0,Malta,Pelagian Sea,36.134051,,,14.691761,,,,1,Tth4,0,83,2,0.908,,"Used Google Maps, site name, and map provided by the paper to find coordinates"
Thunnus thynnus,Atlantic bluefin tuna,A. Vella et al. (2016) J. Appl. Ichthyol. 32: 523–531,0,Malta,Pelagian Sea,36.134051,,,14.691761,,,,1,Ttho-1,0,83,2,0.629,,"Used Google Maps, site name, and map provided by the paper to find coordinates"
