"","spp","CommonName","Source","Country","Site","lat","lon","stockid","CollectionYear","MarkerName","n","bp","He","Hese","Pi","Pise","file","maxlength"
"364","Cleisthenes herzensteini","Pointhead flounder","Xiao et. al 2011 Genetics 139:187-198","Japan","Sea of Japan",44.6166666666667,140.366666666667,NA,"2007","control region",17,"421",0.99,0.000557832,0.014,0.001940285,"mtdna101",47
"365","Cleisthenes herzensteini","Pointhead flounder","Xiao et. al 2011 Genetics 139:187-198","Japan","Sea of Okhotsk",44.5,143,NA,"2007","control region",28,"421",0.99,0.002267787,0.017,0.00170084,"mtdna101",47
"366","Cleisthenes herzensteini","Pointhead flounder","Xiao et. al 2011 Genetics 139:187-198","Japan","Tohoku",39.4,142.7,NA,"2008","control region",27,"421",0.98,0.003849002,0.017,0.001732051,"mtdna101",47
"367","Clupea pallasii pallasii","Pacific herring","Grant et al. 2012 Molecular Phylogenetics and Evolution 65:203-212","Canada ","Strait of Georgia, NE Pacific ",49.3473,-123.8583,NA,"2009","control region",24,"463",0.978,0.004286607,0.0214,0.002306603,"mtdna101",46
"368","Clupea pallasii pallasii","Pacific herring","Grant et al. 2012 Molecular Phylogenetics and Evolution 65:203-212","China ","Rongcheng, Yellow Sea ",36.7417,122.758,NA,"2003","control region",39,"463",0.908,0.003843076,0.0098,0.000880705,"mtdna101",46
"369","Clupea pallasii pallasii","Pacific herring","Grant et al. 2012 Molecular Phylogenetics and Evolution 65:203-212","Japan","Ishikari Bay, Sea of Japan ",43.3115,141.1668,NA,"2005","control region",24,"463",0.935,0.005103104,0.011,0.001245157,"mtdna101",46
"370","Clupea pallasii pallasii","Pacific herring","Grant et al. 2012 Molecular Phylogenetics and Evolution 65:203-212","Japan","North of Hokkaido, Okhotsk Sea ",42.8522,144.0288,NA,"2004","control region",26,"463",0.945,0.004706787,0.0111,0.00121592,"mtdna101",46
"371","Clupea pallasii pallasii","Pacific herring","Grant et al. 2012 Molecular Phylogenetics and Evolution 65:203-212","Japan","Shimane, Sea of Japan ",35.6807,133.5373,NA,"2007","control region",24,"463",0.975,0.003878359,0.0117,0.001326807,"mtdna101",46
"372","Clupea pallasii pallasii","Pacific herring","Grant et al. 2012 Molecular Phylogenetics and Evolution 65:203-212","Russia ","Akkeshi, East of Hokkaido",46.6355,143.6351,NA,"2005","control region",36,"463",0.975,0.002333333,0.0124,0.001116667,"mtdna101",46
"373","Clupea pallasii pallasii","Pacific herring","Grant et al. 2012 Molecular Phylogenetics and Evolution 65:203-212","Russia ","West Kamchatka, Okhotsk Sea ",52.8966,155.43,NA,"2007","control region",29,"463",0.948,0.005199469,0.0113,0.001169881,"mtdna101",46
"374","Clupea pallasii pallasii","Pacific herring","Grant et al. 2012 Molecular Phylogenetics and Evolution 65:203-212","United States","Coastal Washington, NE Pacific ",47.7511,-124.6,NA,"2005","control region",84,"463",0.98,0.000872872,0.0238,0.001320218,"mtdna101",46
"375","Clupea pallasii pallasii","Pacific herring","Grant et al. 2012 Molecular Phylogenetics and Evolution 65:203-212","United States","Sitka, Gulf of Alaska ",56.8881,-135.8982,NA,"2007","control region",26,"463",0.963,0.005295136,0.0235,0.002412228,"mtdna101",46
"376","Clupea pallasii pallasii","Pacific herring","Grant et al. 2012 Molecular Phylogenetics and Evolution 65:203-212","United States","Togiak, Bering Sea ",58.6739,-160.0814,NA,"2007","control region",30,"463",0.894,0.006755245,0.0125,0.001241504,"mtdna101",46
"377","Collichthys lucidus","Big head croaker","Song et al. 2013 Environ. Biol. Fish 97:69-77","China","Changjiang River",32.245265,120.983534,NA,"2011","control region",23,"400",0.834,NA,0.008,NA,"mtdna102",17
"378","Collichthys lucidus","Big head croaker","Song et al. 2013 Environ. Biol. Fish 97:69-77","China","Lianyungang",34.7787987,119.400045,NA,"2009","control region",23,"400",0.81,NA,0.014,NA,"mtdna102",17
"379","Collichthys lucidus","Big head croaker","Song et al. 2013 Environ. Biol. Fish 97:69-77","China","Ningde",26.651394,119.573647,NA,"2010","control region",22,"400",0.823,NA,0.023,NA,"mtdna102",17
"380","Collichthys lucidus","Big head croaker","Song et al. 2013 Environ. Biol. Fish 97:69-77","China","Shanghai",31.077399,121.910481,NA,"2009","control region",16,"400",0.908,NA,0.012,NA,"mtdna102",17
"381","Collichthys lucidus","Big head croaker","Song et al. 2013 Environ. Biol. Fish 97:69-77","China","Shenzhen",22.487684,113.978285,NA,"2009","control region",23,"400",0.755,NA,0.003,NA,"mtdna102",17
"382","Collichthys lucidus","Big head croaker","Song et al. 2013 Environ. Biol. Fish 97:69-77","China","Xiamen",24.465384,118.06044,NA,"2009","control region",21,"400",0.629,NA,0.003,NA,"mtdna102",17
"383","Collichthys lucidus","Big head croaker","Song et al. 2013 Environ. Biol. Fish 97:69-77","China","Zhoushan",29.965584,122.208477,NA,"2010","control region",23,"400",0.921,NA,0.026,NA,"mtdna102",17
"384","Conger conger","European conger","Correia et al. 2006. Fisheries Science. 72: 20-27","Portugal","Azores",38,-29,NA,"1999","control region",10,"432",0.978,0.0171,0.007,0.00158,"mtdna101",300
"385","Conger conger","European conger","Correia et al. 2006. Fisheries Science. 72: 20-27","Portugal","North Portuguese Continental Slope",41,-9,NA,"1989","control region",8,"432",1,0.0219,0.01,0.00212,"mtdna101",300
"386","Conger conger","European conger","Correia et al. 2012 Marine Biology 159:1509-1525","Azores","Azores",36,-20,NA,"2007","control region",92,"607",0.95,0.00209,0.0045,0.000281,"mtdna101",300
"387","Conger conger","European conger","Correia et al. 2012 Marine Biology 159:1509-1525","Ireland","Ireland",56.4333333333333,-9.56666666666667,NA,"2008","control region",54,"607",0.97,0.00272,0.005,0.000408,"mtdna101",300
"388","Conger conger","European conger","Correia et al. 2012 Marine Biology 159:1509-1525","Portugal","Madeira",32.7833333333333,-16.7333333333333,NA,"2007","control region",60,"607",0.89,0.00516,0.0038,0.000297,"mtdna101",300
"389","Conger conger","European conger","Correia et al. 2012 Marine Biology 159:1509-1525","Portugal","North Portugal",41.1833333333333,-8.96666666666667,NA,"2007","control region",60,"607",0.96,0.00387,0.0043,0.000336,"mtdna101",300
"390","Conger conger","European conger","Correia et al. 2012 Marine Biology 159:1509-1525","Portugal","South Portugal",36.9166666666667,-9.25,NA,"2006","control region",26,"607",0.92,0.00588,0.004,0.00049,"mtdna101",300
"391","Conger conger","European conger","Correia et al. 2012 Marine Biology 159:1509-1525","Spain","Mallorca",39.25,2.333333,NA,"2007","control region",55,"607",0.74,0.00809,0.0021,0.000202,"mtdna101",300
"392","Coris bulbifrons","Doubleheader","van der Meer et al. 2015 Coral Reefs 34:393-402","Australia","Elizabeth Reef",-29.939211,159.062671,NA,"","D-loop",8,"341",1,NA,0.0254,NA,"mtdna102",60
"393","Coris bulbifrons","Doubleheader","van der Meer et al. 2015 Coral Reefs 34:393-402","Australia","Lord Howe Island",-31.545811,159.082812,NA,"","D-loop",16,"341",0.98,NA,0.015,NA,"mtdna102",60
"394","Coris bulbifrons","Doubleheader","van der Meer et al. 2015 Coral Reefs 34:393-402","Australia","Middleton Reef",-29.469456,159.119101,NA,"","D-loop",20,"341",0.96,NA,0.0194,NA,"mtdna102",60
"395","Coris bulbifrons","Doubleheader","van der Meer et al. 2015 Coral Reefs 34:393-402","Australia","Norfolk Island",-29.039921,167.945666,NA,"","D-loop",37,"341",0.99,NA,0.0204,NA,"mtdna102",60
"396","Coryphaenoides mediterraneus","Mediterranean grenadier","Catarino et al. 2017 PLoS ONE 12:e0174988","Atlantic Ocean","MAR_2",51.8334,-29.9833,NA,"2011-2012","cytochrome c oxidase subunit I",10,"613",0.6,NA,0.0011,NA,"mtdna102",73
"397","Coryphaenoides mediterraneus","Mediterranean grenadier","Catarino et al. 2017 PLoS ONE 12:e0174988","Atlantic Ocean","MAR_3",42.911,-29.2388,NA,"2011-2012","cytochrome c oxidase subunit I",38,"613",0.542,NA,0.0012,NA,"mtdna102",73
"398","Coryphaenoides mediterraneus","Mediterranean grenadier","Catarino et al. 2017 PLoS ONE 12:e0174988","Atlantic Ocean","ROC",57,9.5,NA,"2011","cytochrome c oxidase subunit I",49,"613",0.119,NA,2e-04,NA,"mtdna102",73
"399","Crystallias matsushimae","","Tohkairin et al. 2016 Ichthyol. Res. 63:370-381","Japan","N Honshu",40.29908,140.3791,NA,"","cytb",23,"1010",0.96,0.00459,0.00361,0.00044,"mtdna102",38
"400","Crystallias matsushimae","","Tohkairin et al. 2016 Ichthyol. Res. 63:370-381","Japan","N Honshu",40.29908,140.3791,NA,"","cytochrome c oxidase subunit I",23,"396",0.597,0.01314,0.00192,0.00034,"mtdna102",38
"401","Crystallias matsushimae","","Tohkairin et al. 2016 Ichthyol. Res. 63:370-381","Japan","Sea of Okhotsk",44.68194,143.2674,NA,"","cytb",42,"1010",0.879,0.00525,0.00374,0.00033,"mtdna102",38
"402","Crystallias matsushimae","","Tohkairin et al. 2016 Ichthyol. Res. 63:370-381","Japan","Sea of Okhotsk",44.68194,143.2674,NA,"","cytochrome c oxidase subunit I",42,"396",0.767,0.00772,0.00413,0.00043,"mtdna102",38
"403","Crystallias matsushimae","","Tohkairin et al. 2016 Ichthyol. Res. 63:370-381","South Korea","Korean Peninsula",38.205319,128.601817,NA,"","cytb",8,"1010",0.464,0.01414,5e-04,0.00019,"mtdna102",38
"404","Cynoscion nebulosus","Spotted weakfish","Anderson and Karel 2009 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 1:121-132","USA","AB",28,-96.9,NA,"2003-2005","control region",42,"373",0.89,NA,0.006,NA,"mtdna101",100
"405","Cynoscion nebulosus","Spotted weakfish","Anderson and Karel 2009 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 1:121-132","USA","CC",27.7,-97.2,NA,"2003-2005","control region",42,"373",0.89,NA,0.007,NA,"mtdna101",100
"406","Cynoscion nebulosus","Spotted weakfish","Anderson and Karel 2009 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 1:121-132","USA","EM",28.69,-95.8,NA,"2003-2005","control region",28,"373",0.92,NA,0.007,NA,"mtdna101",100
"407","Cynoscion nebulosus","Spotted weakfish","Anderson and Karel 2009 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 1:121-132","USA","LL",26.3,-97.27,NA,"2003-2005","control region",27,"373",0.89,NA,0.007,NA,"mtdna101",100
"408","Cynoscion nebulosus","Spotted weakfish","Anderson and Karel 2009 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 1:121-132","USA","MB",28.4,-96.35,NA,"2003-2005","control region",27,"373",0.94,NA,0.007,NA,"mtdna101",100
"409","Cynoscion nebulosus","Spotted weakfish","Anderson and Karel 2009 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 1:121-132","USA","SB",28.27,-96.7,NA,"2003-2005","control region",40,"373",0.9,NA,0.007,NA,"mtdna101",100
"410","Cynoscion nebulosus","Spotted weakfish","Anderson and Karel 2009 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 1:121-132","USA","SL",29.8,-93.8,NA,"2003-2005","control region",44,"373",0.75,NA,0.005,NA,"mtdna101",100
"411","Cynoscion nebulosus","Spotted weakfish","Anderson and Karel 2009 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 1:121-132","USA","UL",27.25,-97.4,NA,"2003-2005","control region",30,"373",0.87,NA,0.006,NA,"mtdna101",100
"412","Dalatias licha","Kitefin shark","Vella, Vella & Schembri (2017) Marine Genomics 36:17-23","","Malta",35.951019,14.361835,NA,"2003-2017","cytochrome c oxidase subunit I",7,"610",0.286,0.196,5e-04,6e-04,"mtdna103",182
"413","Dasyatis pastinaca","Common stingray","Vella, Vella & Schembri (2017) Marine Genomics 36:17-23","","Malta",35.951019,14.361835,NA,"2003-2017","ND2",8,"990",0.25,0.18,5e-04,5e-04,"mtdna103",64
"414","Diaphus theta","California headlightfish","Kojima et. al 2009 Journal of Oceanography 65:187-193","Pacific Ocean","E3",51.8,-144.5,NA,"","cytb",17,"621",0.93,NA,0.00426,NA,"mtdna101",11.4
"415","Diaphus theta","California headlightfish","Kojima et. al 2009 Journal of Oceanography 65:187-193","Pacific Ocean","W2",42.79,146.9,NA,"","cytb",20,"621",0.95,NA,0.00497,NA,"mtdna101",11.4
"416","Diaphus theta","California headlightfish","Kojima et. al 2009 Journal of Oceanography 65:187-193","Pacific Ocean","W4",49.5,173.9,NA,"","cytb",20,"621",0.83,NA,0.0032,NA,"mtdna101",11.4
"417","Dicentrarchus labrax","European seabass","Lemaire, Versini & Bonhomme 2005","Algeria","AGLA",36.930153,7.777423,NA,"1997-2002","cytb",51,"304",0.04,NA,5e-04,NA,"mtdna101",103
"418","Dicentrarchus labrax","European seabass","Lemaire, Versini & Bonhomme 2005","Belgium","BANV",51.291558,2.798765,NA,"1997-2002","cytb",41,"304",0.14,NA,0.002,NA,"mtdna101",103
"419","Dicentrarchus labrax","European seabass","Lemaire, Versini & Bonhomme 2005","France","FBRE",48.579197,-2.689803,NA,"1997-2002","cytb",38,"304",0.36,NA,0.004,NA,"mtdna101",103
"420","Dicentrarchus labrax","European seabass","Lemaire, Versini & Bonhomme 2005","France","FMRS",43.133,5.05194444444444,NA,"1997-2002","cytb",60,"304",0.1,NA,4e-04,NA,"mtdna101",103
"421","Dicentrarchus labrax","European seabass","Lemaire, Versini & Bonhomme 2005","France","FPRE",43.45,3.783333,NA,"1997-2002","cytb",20,"304",0.1,NA,4e-04,NA,"mtdna101",103
"422","Dicentrarchus labrax","European seabass","Lemaire, Versini & Bonhomme 2005","France","FYEU",46.731184,-2.328105,NA,"1997-2002","cytb",22,"304",0.4,NA,0.005,NA,"mtdna101",103
"423","Dicentrarchus labrax","European seabass","Lemaire, Versini & Bonhomme 2005","Morocco","MMAR",35.626061,-5.256336,NA,"1997-2002","cytb",14,"304",0.53,NA,0.007,NA,"mtdna101",103
"424","Dicentrarchus labrax","European seabass","Lemaire, Versini & Bonhomme 2005","Morocco","MNAD",35.175243,-2.906444,NA,"1997-2002","cytb",9,"304",0.69,NA,0.01,NA,"mtdna101",103
"425","Dicentrarchus labrax","European seabass","Lemaire, Versini & Bonhomme 2005","Morocco","MRBT",34.003488,-6.921824,NA,"1997-2002","cytb",35,"304",0.44,NA,0.005,NA,"mtdna101",103
"426","Dicentrarchus labrax","European seabass","Lemaire, Versini & Bonhomme 2005","Portugal","PAVR",40.659132,-8.776491,NA,"1997-2002","cytb",48,"304",0.37,NA,0.005,NA,"mtdna101",103
"427","Dicentrarchus labrax","European seabass","Lemaire, Versini & Bonhomme 2005","Spain","EMAM",37.763914,-0.780593,NA,"1997-2002","cytb",32,"304",0.06,NA,2e-04,NA,"mtdna101",103
"428","Dicentrarchus labrax","European seabass","Lemaire, Versini & Bonhomme 2005","Tunisia","TBIZ",37.416073,9.815259,NA,"1997-2002","cytb",29,"304",0.31,NA,0.003,NA,"mtdna101",103
"429","Dicentrarchus labrax","European seabass","Lemaire, Versini & Bonhomme 2005","Tunisia","TGOU",36.784108,10.42604,NA,"1997-2002","cytb",27,"304",0.07,NA,3e-04,NA,"mtdna101",103
"430","Dicentrarchus labrax","European seabass","Lemaire, Versini & Bonhomme 2005","Tunisia","TISK",37.16,9.10166666666667,NA,"1997-2002","cytb",38,"304",0.15,NA,6e-04,NA,"mtdna101",103
"431","Diplodus sargus","White seabream","Kaoueche et al. 2013. African Journal of Marine Science","Mediterranian Sea","Bizerta",37.544577,9.686279,NA,"","cytb",19,"671",0.578,NA,0.001,NA,"mtdna101",45
"432","Diplodus sargus","White seabream","Kaoueche et al. 2013. African Journal of Marine Science","Mediterranian Sea","El Biban Lagoon",34.052659,10.389404,NA,"","cytb",7,"671",0.952,NA,0.0024,NA,"mtdna101",45
"433","Diplodus sargus","White seabream","Kaoueche et al. 2013. African Journal of Marine Science","Mediterranian Sea","Gabes Gulf",34.288992,10.323486,NA,"","cytb",7,"671",0.857,NA,0.0017,NA,"mtdna101",45
"434","Diplodus sargus","White seabream","Kaoueche et al. 2013. African Journal of Marine Science","Mediterranian Sea","Ghar Melh Lagoon",36.949892,10.389404,NA,"","cytb",8,"671",0.785,NA,0.0018,NA,"mtdna101",45
"435","Diplodus sargus","White seabream","Kaoueche et al. 2013. African Journal of Marine Science","Mediterranian Sea","Mahdia",35.675147,11.114502,NA,"","cytb",25,"671",0.77,NA,0.0017,NA,"mtdna101",45
"436","Diplodus sargus","White seabream","Gonzalez-Wanguemert & Perez-Ruzafa 2012 Marine Ecology 33:337-349","France ","Banyuls",42.6,3.1758,NA,"2006.5","cytb",22,"661",0.5513,NA,0.0021,NA,"mtdna101",45
"437","Diplodus sargus","White seabream","Gonzalez-Wanguemert & Perez-Ruzafa 2012 Marine Ecology 33:337-349","Portugal ","Quarteira ",37.0628,-8.1064,NA,"2006.5","cytb",25,"661",0.5524,NA,9e-04,NA,"mtdna101",45
"438","Diplodus sargus","White seabream","Gonzalez-Wanguemert & Perez-Ruzafa 2012 Marine Ecology 33:337-349","Portugal ","Ria Formosa ",37.0276,-7.8183,NA,"2006.5","cytb",24,"661",0.7572,NA,0.0045,NA,"mtdna101",45
"439","Diplodus sargus","White seabream","Gonzalez-Wanguemert & Perez-Ruzafa 2012 Marine Ecology 33:337-349","Spain ","Galicia ",43.2277,-9.218,NA,"2006.5","cytb",24,"661",0.5507,NA,0.0011,NA,"mtdna101",45
"440","Diplodus sargus","White seabream","Gonzalez-Wanguemert & Perez-Ruzafa 2012 Marine Ecology 33:337-349","Spain ","Mar Menor ",37.6909,-0.8237,NA,"2006.5","cytb",22,"661",0.8528,NA,0.0021,NA,"mtdna101",45
"441","Diplodus sargus","White seabream","Gonzalez-Wanguemert & Perez-Ruzafa 2012 Marine Ecology 33:337-349","Spain ","Murica ",37.6409,-0.6912,NA,"2006.5","cytb",25,"661",0.5604,NA,0.0016,NA,"mtdna101",45
"442","Diplodus sargus","White seabream","Gonzalez-Wanguemert et al. 2011 Marine Biology Research 7:250-260","Italy ","Castellamare ",38.3275,12.5785,NA,"2004.5","control region",20,"410",1,NA,0.0176,NA,"mtdna101",45
"443","Diplodus sargus","White seabream","Gonzalez-Wanguemert et al. 2011 Marine Biology Research 7:250-260","Portugal ","Azores ",37.8115,-24.1,NA,"2004.5","control region",20,"410",0.9766,NA,0.023,NA,"mtdna101",45
"444","Diplodus sargus","White seabream","Gonzalez-Wanguemert et al. 2011 Marine Biology Research 7:250-260","Portugal ","Faro",37.0163,-8.2477,NA,"2004.5","control region",20,"410",1,NA,0.0234,NA,"mtdna101",45
"445","Diplodus sargus","White seabream","Gonzalez-Wanguemert et al. 2011 Marine Biology Research 7:250-260","Spain ","Canary Islands ",28.9792,-15.0897,NA,"2004.5","control region",20,"410",0.9872,NA,0.0247,NA,"mtdna101",45
"446","Diplodus sargus","White seabream","Gonzalez-Wanguemert et al. 2011 Marine Biology Research 7:250-260","Spain ","Mallorca ",39.1933,3.027,NA,"2004.5","control region",22,"410",0.9926,NA,0.0218,NA,"mtdna101",45
"447","Diplodus sargus","White seabream","Gonzalez-Wanguemert et al. 2011 Marine Biology Research 7:250-260","Tunisia ","Tunisia ",37.2652,10.7308,NA,"2004.5","control region",22,"410",1,NA,0.0271,NA,"mtdna101",45
"448","Diplodus vulgaris","Common two-banded seabream","Stefanni et al. 2015 Heredity 115:527-537","Italy","Palermo",38.121556,13.377875,NA,"2007","control region",28,"344-345",1,0.004,0.018,0.002,"mtdna102",45
"449","Diplodus vulgaris","Common two-banded seabream","Stefanni et al. 2015 Heredity 115:527-537","Italy","Torre Guaceto",40.718263,17.793467,NA,"2007","control region",11,"344-345",0.964,0.029,0.02,0.005,"mtdna102",45
"450","Diplodus vulgaris","Common two-banded seabream","Stefanni et al. 2015 Heredity 115:527-537","Portugal","Azores Islands",38.66108,-28.694561,NA,"2007-2008","control region",23,"344-345",0.668,0.035,0.014,0.004,"mtdna102",45
"451","Diplodus vulgaris","Common two-banded seabream","Stefanni et al. 2015 Heredity 115:527-537","Portugal","Madeira Island",33.586712,-16.66211,NA,"2009","control region",30,"344-345",0.94,0.006,0.017,0.002,"mtdna102",45
"452","Diplodus vulgaris","Common two-banded seabream","Stefanni et al. 2015 Heredity 115:527-537","Portugal","Malta Island",35.897186,14.446366,NA,"2008","control region",11,"344-345",1,0.157,0.023,0.011,"mtdna102",45
"453","Diplodus vulgaris","Common two-banded seabream","Stefanni et al. 2015 Heredity 115:527-537","Portugal","Portugal C.",38.56595,-9.29509,NA,"2008","control region",34,"344-345",1,0.082,0.022,0.002,"mtdna102",45
"454","Diplodus vulgaris","Common two-banded seabream","Stefanni et al. 2015 Heredity 115:527-537","Portugal","Portugal S.",37.10449,-8.59826,NA,"2008","control region",25,"344-345",0.961,0.006,0.017,0.002,"mtdna102",45
"455","Diplodus vulgaris","Common two-banded seabream","Stefanni et al. 2015 Heredity 115:527-537","Spain","Balearic Island",39.560668,2.648136,NA,"2007","control region",14,"344-345",1,0.012,0.017,0.003,"mtdna102",45
"456","Diplodus vulgaris","Common two-banded seabream","Stefanni et al. 2015 Heredity 115:527-537","Spain","Cadiz",36.530452,-6.289334,NA,"2008","control region",20,"344-345",0.984,0.006,0.013,0.002,"mtdna102",45
"457","Dipturus oxyrinchus","Longnosed skate","Vella, Vella & Schembri (2017) Marine Genomics 36:17-23","","Malta",35.951019,14.361835,NA,"2003-2017","cytochrome c oxidase subunit I",10,"610",0.2,0.154,3e-04,5e-04,"mtdna103",150
"458","Dipturus oxyrinchus","Longnosed skate","Vella, Vella & Schembri (2017) Marine Genomics 36:17-23","","Malta",35.951019,14.361835,NA,"2003-2017","ND2",10,"990",0.8,0.1,0.0014,0.001,"mtdna103",150
"459","Dipturus trachyderma","Roughskin skate","Vargas-Caro et al. 2017 PLoS ONE 12:e0172255","Chile","Puerto Montt",-41.4733333333333,-72.94,NA,"","control region",14,"556",0.275,0.0396,7e-04,2e-04,"mtdna102",264
"460","Dipturus trachyderma","Roughskin skate","Vargas-Caro et al. 2017 PLoS ONE 12:e0172255","Chile","San Antonio",-33.5916666666667,-71.6166666666667,NA,"","control region",52,"556",0.038,0.0051,1e-04,0,"mtdna102",264
"461","Dipturus trachyderma","Roughskin skate","Vargas-Caro et al. 2017 PLoS ONE 12:e0172255","Chile","Valdivia",-39.875,-73.4,NA,"","control region",53,"556",0.329,0.0106,0.0036,3e-04,"mtdna102",264
"462","Eleginops maclovinus","Patagonian blennie","Ceballos et al. 2012 Marine Biology 159:499-505","Argentina ","Canal Beagle",-54.8134,-68.2944,NA,"","cytb",36,"833",0.88,NA,0.0038,NA,"mtdna101",90
"463","Eleginops maclovinus","Patagonian blennie","Ceballos et al. 2012 Marine Biology 159:499-505","Argentina ","Puerto Madryn",-42.761,-65.0197,NA,"","cytb",27,"833",0.96,NA,0.0054,NA,"mtdna101",90
"464","Eleginops maclovinus","Patagonian blennie","Ceballos et al. 2012 Marine Biology 159:499-505","Argentina ","Puerto San Juliíçn",-49.3224,-67.7192,NA,"","cytb",24,"833",0.86,NA,0.0035,NA,"mtdna101",90
"465","Eleginops maclovinus","Patagonian blennie","Ceballos et al. 2012 Marine Biology 159:499-505","Argentina ","Punta Marí_a ",-53.772,-67.683,NA,"","cytb",38,"833",0.87,NA,0.0036,NA,"mtdna101",90
"466","Eleginops maclovinus","Patagonian blennie","Ceballos et al. 2012 Marine Biology 159:499-505","Argentina ","Rada Tilly",-42.7584,-65.0314,NA,"","cytb",25,"833",0.89,NA,0.0026,NA,"mtdna101",90
"467","Eleginops maclovinus","Patagonian blennie","Ceballos et al. 2012 Marine Biology 159:499-505","Argentina ","San Antonio Oeste (SAO)",-40.7757,-64.9755,NA,"","cytb",25,"833",0.9,NA,0.0047,NA,"mtdna101",90
"468","Eleginops maclovinus","Patagonian blennie","Ceballos et al. 2012 Marine Biology 159:499-505","Chile ","Concepcií_n ",-36.7077,-73.0692,NA,"","cytb",27,"833",0.9,NA,0.0032,NA,"mtdna101",90
"469","Eleginops maclovinus","Patagonian blennie","Ceballos et al. 2012 Marine Biology 159:499-505","Chile ","Puerto Aysí©n ",-45.4552,-74.6231,NA,"","cytb",31,"833",0.91,NA,0.0042,NA,"mtdna101",90
"470","Eleginops maclovinus","Patagonian blennie","Ceballos et al. 2012 Marine Biology 159:499-505","Chile ","Puerto Montt",-41.5456,-72.9113,NA,"","cytb",28,"833",0.87,NA,0.0039,NA,"mtdna101",90
"471","Engraulis australis","Australian anchovy","Silva et al. 2017 Scientific Reports 7:2893","Australia","Australia",-35,151,NA,"2008","cytb",34,"1044",0.998,NA,0.007,NA,"mtdna102",15
"472","Engraulis australis","Australian anchovy","Silva et al. 2017 Scientific Reports 7:2893","New Zealand","New Zealand",-36.7,175,NA,"2005","cytb",35,"1044",0.709,NA,0.001,NA,"mtdna102",15
"473","Engraulis capensis","Southern African anchovy","Silva et al. 2017 Scientific Reports 7:2893","Namibia","Namibia",-17.2,11.7,NA,"2007","cytb",24,"1044",0.92,NA,0.01,NA,"mtdna102",17
"474","Engraulis capensis","Southern African anchovy","Silva et al. 2017 Scientific Reports 7:2893","South Africa","South Africa",-34.7,21,NA,"2007","cytb",13,"1044",0.923,NA,0.019,NA,"mtdna102",17
"475","Engraulis encrasicolus","European anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","Bay of Biscay","East Cantabrian Sea (Basque Country)",44.2,-2.54,"ANCHOBAYB","2009","cytb",17,"524",0.9706,0.00783,0.0158,NA,"mtdna101",20
"476","Engraulis encrasicolus","European anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","Bay of Biscay","East Cantabrian Sea (Basque Country)",44.2,-2.54,"ANCHOBAYB","2009","16S",19,"503",0.7018,0.185,0.005022,NA,"mtdna101",20
"477","Engraulis encrasicolus","European anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","Bay of Biscay","East Cantabrian Sea (Getaria Coast)",44,-2.6,"ANCHOBAYB","2009","16S",11,"503",0.8727,0.0269,0.005639,NA,"mtdna101",20
"478","Engraulis encrasicolus","European anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","Bay of Biscay","East Cantabrian Sea (Getaria Coast)",44,-2.6,"ANCHOBAYB","2009","cytb",12,"524",0.8485,0.00367,0.012723,NA,"mtdna101",20
"479","Engraulis encrasicolus","European anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","Bay of Biscay","West Cantabrian Sea",43.47,-4.01,"ANCHOBAYB","2009","16S",40,"503",0.5308,0.0141,0.003747,NA,"mtdna101",20
"480","Engraulis encrasicolus","European anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","Bay of Biscay","West Cantabrian Sea",43.47,-4.01,"ANCHOBAYB","2009","cytb",39,"524",0.726,0.0113,0.011935,NA,"mtdna101",20
"481","Engraulis encrasicolus","European anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","Bay of Biscay","West Cantabrian Sea (Valdearenas)",43.44,-3.97,"ANCHOBAYB","2009","16S",20,"503",0.7421,0.00077,0.005159,NA,"mtdna101",20
"482","Engraulis encrasicolus","European anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","Bay of Biscay","West Cantabrian Sea (Valdearenas)",43.44,-3.97,"ANCHOBAYB","2009","cytb",20,"524",0.9474,0.0158,0.016181,NA,"mtdna101",20
"483","Engraulis encrasicolus","European anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","France","North Nantes",47,-2.5,"ANCHOBAYB","2009","16S",31,"503",0.7484,0.00442,0.005481,NA,"mtdna101",20
