,spp,CommonName,Source,Country,Site,lat,lon,stockid,CollectionYear,MarkerName,n,bp,He,Hese,Pi,Pise,file
540,Engraulis japonicus,Japanese anchovy,Liu et al. 2006,Japan,"Kosasa, Nagasaki",32.887852,129.43681,JANCHOTSST,1996,control region,18,522,1,NA,0.019,NA,mtdna101
541,Engraulis japonicus,Japanese anchovy,Liu et al. 2006,Japan,Miura Kanagawa,35.111632,139.653792,JANCHOPJPN,1997,control region,18,522,1,NA,0.016,NA,mtdna101
542,Engraulis japonicus,Japanese anchovy,Liu et al. 2006,Japan,"Mugi, Tokushima",33.652868,134.45542,JANCHOPJPN,1997,control region,18,522,1,NA,0.02,NA,mtdna101
543,Engraulis japonicus,Japanese anchovy,Liu et al. 2006,Japan,Mutsu Bay,41.007148,141.106946,JANCHOPJPN,1997,control region,18,522,1,NA,0.018,NA,mtdna101
544,Engraulis japonicus,Japanese anchovy,Liu et al. 2006,Japan,Teuri Island,44.400754,141.315284,NA,2005,control region,20,522,0.99,NA,0.018,NA,mtdna101
545,Engraulis japonicus,Japanese anchovy,Liu et al. 2006,Japan,"Utatsu, Miyagi",38.68513,141.589825,JANCHOPJPN,1997,control region,18,522,1,NA,0.02,NA,mtdna101
546,Engraulis japonicus,Japanese anchovy,Silva et al. 2017 Scientific Reports 7:2893,Japan,Japan,35.6,139.9,NA,2006,cytb,24,1044,1,NA,0.011,NA,mtdna102
547,Engraulis japonicus,Japanese anchovy,Yu et al. 2005,China,Q1 - center-south of Yellow Sea,35.461,122.4,NA,,cytb,15,420,0.962,0.04,0.00744,0.00458,mtdna101
548,Engraulis japonicus,Japanese anchovy,Yu et al. 2005,China,Q1 - center-south of Yellow Sea,35.461,122.4,NA,,cytochrome c oxidase subunit I,14,616,0.934,0.061,0.00519,0.0032,mtdna101
549,Engraulis japonicus,Japanese anchovy,Yu et al. 2005,China,Q2 - northeast East China Sea,32.436,125,JANCHOTSST,,cytb,16,420,0.95,0.041,0.00589,0.00376,mtdna101
550,Engraulis japonicus,Japanese anchovy,Yu et al. 2005,China,Q2 - northeast East China Sea,32.436,125,JANCHOTSST,,cytochrome c oxidase subunit I,15,616,0.981,0.031,0.00532,0.00325,mtdna101
551,Engraulis japonicus,Japanese anchovy,Yu et al. 2005,China,Q3 - southwest East China Sea,26.549,121.5,NA,,cytochrome c oxidase subunit I,15,616,0.971,0.039,0.00832,0.00479,mtdna101
552,Engraulis japonicus,Japanese anchovy,Yu et al. 2005,China,Q3 - southwest East China Sea,26.549,121.5,NA,,cytb,15,420,0.981,0.031,0.00603,0.00385,mtdna101
553,Engraulis japonicus,Japanese anchovy,"Zheng, Zou & Han 2015 Biochemical Systematics and Ecology 58:169-177",China,A,36,123.9,NA,2011,cytb,18,402,0.9542,NA,0.007,NA,mtdna102
554,Engraulis japonicus,Japanese anchovy,"Zheng, Zou & Han 2015 Biochemical Systematics and Ecology 58:169-177",China,B2,35,123.9,NA,2011,cytb,19,402,0.9474,NA,0.0069,NA,mtdna102
555,Engraulis japonicus,Japanese anchovy,"Zheng, Zou & Han 2015 Biochemical Systematics and Ecology 58:169-177",China,C,34,123.5,NA,2011,cytb,7,402,0.9048,NA,0.0074,NA,mtdna102
556,Engraulis japonicus,Japanese anchovy,"Zheng, Zou & Han 2015 Biochemical Systematics and Ecology 58:169-177",China,D,33.5,123.5,NA,2010,cytb,17,402,0.4706,NA,0.0014,NA,mtdna102
557,Engraulis japonicus,Japanese anchovy,"Zheng, Zou & Han 2015 Biochemical Systematics and Ecology 58:169-177",China,E2,30.5,125,NA,2010,cytb,24,402,0.9312,NA,0.0062,NA,mtdna102
558,Engraulis japonicus,Japanese anchovy,"Zheng, Zou & Han 2015 Biochemical Systematics and Ecology 58:169-177",China,JN,35.45,120.25,NA,2008,cytb,18,402,0.7363,NA,0.0039,NA,mtdna102
559,Engraulis japonicus,Japanese anchovy,"Zheng, Zou & Han 2015 Biochemical Systematics and Ecology 58:169-177",China,WH,37.24,123.28,NA,2008,cytb,15,402,0.9935,NA,0.009,NA,mtdna102
560,Engraulis japonicus,Japanese anchovy,"Zheng, Zou & Han 2015 Biochemical Systematics and Ecology 58:169-177",South Korea,K,35.87,126.01,NA,2008,cytb,14,402,0.8762,NA,0.006,NA,mtdna102
561,Epinephelus akaara,Hong Kong grouper,Chen et. al 2008 African Journal of Biotechnology 7(20):3554-3562,China,DYW,22.06,114.3,NA,2001,control region,5,331,0.9,0.071554175,0.007,0.002683282,mtdna101
562,Epinephelus akaara,Hong Kong grouper,Chen et. al 2008 African Journal of Biotechnology 7(20):3554-3562,China,PT,25.9,119.8,NA,2001,control region,15,331,0.89,0.018073922,0.008,0.001290994,mtdna101
563,Epinephelus akaara,Hong Kong grouper,Chen et. al 2008 African Journal of Biotechnology 7(20):3554-3562,China,SY,17.6,108.96,NA,1999,control region,14,331,1,0.008017837,0.012,0.001870829,mtdna101
564,Epinephelus akaara,Hong Kong grouper,Chen et. al 2008 African Journal of Biotechnology 7(20):3554-3562,China,XM,24.3,118.5,NA,2001,control region,10,331,0.98,0.015811388,0.017,0.003162278,mtdna101
565,Epinephelus akaara,Hong Kong grouper,Chen et. al 2008 African Journal of Biotechnology 7(20):3554-3562,China,ZJ,20.86,111.03,NA,2000,control region,15,331,0.93,0.012909944,0.01,0.001549193,mtdna101
566,Epinephelus akaara,Hong Kong grouper,Chen et. al 2008 African Journal of Biotechnology 7(20):3554-3562,China,ZL,23.4,117.3,NA,2001,control region,13,331,0.72,0.036055513,0.006,0.0011094,mtdna101
567,Epinephelus akaara,Hong Kong grouper,Chen et. al 2008 African Journal of Biotechnology 7(20):3554-3562,China,ZS,29.8,122.4,NA,1998,control region,15,331,0.94,0.010327956,0.011,0.001549193,mtdna101
568,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Indonesia,Bitung,1.423907,125.160842,NA,2007-2011,control region,23,872,0.956522,NA,NA,NA,mtdna102
569,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Indonesia,Bitung,1.423907,125.160842,NA,2007-2011,cytb,23,1053,0.956522,NA,NA,NA,mtdna102
570,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Amami-oshima Island,28.282984,129.354486,NA,2007-2011,cytb,10,1053,0.977778,NA,NA,NA,mtdna102
571,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Amami-oshima Island,28.282984,129.354486,NA,2007-2011,control region,10,872,1,NA,NA,NA,mtdna102
572,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Fukue Island,32.710688,128.757272,NA,2007-2011,cytb,20,1053,0.863158,NA,NA,NA,mtdna102
573,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Fukue Island,32.710688,128.757272,NA,2007-2011,control region,20,872,0.957895,NA,NA,NA,mtdna102
574,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Gaja-jima Island,29.905243,129.540414,NA,2007-2011,cytb,20,1053,0.931579,NA,NA,NA,mtdna102
575,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Gaja-jima Island,29.905243,129.540414,NA,2007-2011,control region,20,872,0.973684,NA,NA,NA,mtdna102
576,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Izu-oshima Island,34.750752,139.382503,NA,2007-2011,cytb,31,1053,0.883871,NA,NA,NA,mtdna102
577,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Izu-oshima Island,34.750752,139.382503,NA,2007-2011,control region,31,872,0.96344,NA,NA,NA,mtdna102
578,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Izu Peninsula,34.830122,139.075735,NA,2007-2011,cytb,20,1053,0.889474,NA,NA,NA,mtdna102
579,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Izu Peninsula,34.830122,139.075735,NA,2007-2011,control region,20,872,0.936842,NA,NA,NA,mtdna102
580,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Kodakara-jima Island,29.223751,129.324493,NA,2007-2011,cytb,16,1053,0.991667,NA,NA,NA,mtdna102
581,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Kodakara-jima Island,29.223751,129.324493,NA,2007-2011,control region,16,872,0.983333,NA,NA,NA,mtdna102
582,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Kozu Island,34.216488,139.147821,NA,2007-2011,cytb,32,1053,0.739919,NA,NA,NA,mtdna102
583,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Kozu Island,34.216488,139.147821,NA,2007-2011,control region,32,872,0.907258,NA,NA,NA,mtdna102
584,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Kuchino-shima Island,29.969423,129.924462,NA,2007-2011,cytb,10,1053,0.911111,NA,NA,NA,mtdna102
585,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Kuchino-shima Island,29.969423,129.924462,NA,2007-2011,control region,10,872,0.977778,NA,NA,NA,mtdna102
586,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Mie Prefecture,34.34222,136.697856,NA,2007-2011,cytb,20,1053,0.942105,NA,NA,NA,mtdna102
587,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Mie Prefecture,34.34222,136.697856,NA,2007-2011,control region,20,872,0.978947,NA,NA,NA,mtdna102
588,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,N. Miyazaki Prefecture,32.478625,131.672478,NA,2007-2011,cytb,20,1053,0.921053,NA,NA,NA,mtdna102
589,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,N. Miyazaki Prefecture,32.478625,131.672478,NA,2007-2011,control region,20,872,0.978947,NA,NA,NA,mtdna102
590,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Ogasawara (Bonin) Islands,27.079167,142.21702,NA,2007-2011,cytb,60,1053,0.909774,NA,NA,NA,mtdna102
591,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Ogasawara (Bonin) Islands,27.079167,142.21702,NA,2007-2011,control region,60,872,0.990395,NA,NA,NA,mtdna102
592,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Okinawa Island,26.705859,128.161069,NA,2007-2011,cytb,25,1053,0.953333,NA,NA,NA,mtdna102
593,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Okinawa Island,26.705859,128.161069,NA,2007-2011,control region,25,872,1,NA,NA,NA,mtdna102
594,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,S. Miyazaki Prefecture,31.528861,131.386604,NA,2007-2011,cytb,22,1053,0.939394,NA,NA,NA,mtdna102
595,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,S. Miyazaki Prefecture,31.528861,131.386604,NA,2007-2011,control region,22,872,1,NA,NA,NA,mtdna102
596,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Shimokoshika-jima Island,31.712163,129.724681,NA,2007-2011,cytb,16,1053,0.916667,NA,NA,NA,mtdna102
597,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Shimokoshika-jima Island,31.712163,129.724681,NA,2007-2011,control region,16,872,0.95,NA,NA,NA,mtdna102
598,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Tanegashima Island,30.630747,130.977755,NA,2007-2011,cytb,19,1053,0.976608,NA,NA,NA,mtdna102
599,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Tanegashima Island,30.630747,130.977755,NA,2007-2011,control region,19,872,0.988304,NA,NA,NA,mtdna102
600,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Yaeyama Islands,24.4,124.6,NA,2007-2011,cytb,30,1053,0.958621,NA,NA,NA,mtdna102
601,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Yaeyama Islands,24.4,124.6,NA,2007-2011,control region,30,872,0.986207,NA,NA,NA,mtdna102
602,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Yaku-shima Island,30.352696,130.512734,NA,2007-2011,cytb,22,1053,0.965368,NA,NA,NA,mtdna102
603,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Japan,Yaku-shima Island,30.352696,130.512734,NA,2007-2011,control region,22,872,0.969697,NA,NA,NA,mtdna102
604,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Malaysia,Kota Kinabalu,6.019033,116.093812,NA,2007-2011,control region,26,872,0.956923,NA,NA,NA,mtdna102
605,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Malaysia,Kota Kinabalu,6.019033,116.093812,NA,2007-2011,cytb,26,1053,0.976923,NA,NA,NA,mtdna102
606,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Taiwan,East Coast,23.984284,121.6383,NA,2007-2011,control region,25,872,0.993333,NA,NA,NA,mtdna102
607,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Taiwan,East Coast,23.984284,121.6383,NA,2007-2011,cytb,25,1053,0.913333,NA,NA,NA,mtdna102
608,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Taiwan,Southern Coast,21.954691,120.755507,NA,2007-2011,control region,20,872,0.994737,NA,NA,NA,mtdna102
609,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Taiwan,Southern Coast,21.954691,120.755507,NA,2007-2011,cytb,20,1053,0.989474,NA,NA,NA,mtdna102
610,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Taiwan,West Coast,23.764021,120.122151,NA,2007-2011,control region,12,872,0.969697,NA,NA,NA,mtdna102
611,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Taiwan,West Coast,23.764021,120.122151,NA,2007-2011,cytb,12,1053,0.969697,NA,NA,NA,mtdna102
612,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Vietnam,Nha Trang,12.240673,109.214914,NA,2007-2011,control region,35,872,0.971429,NA,NA,NA,mtdna102
613,Epinephelus fasciatus,Blacktip grouper,Kuriiwa et al. 2014 Ichthyol. Res. 61:361-374,Vietnam,Nha Trang,12.240673,109.214914,NA,2007-2011,cytb,35,1053,0.961345,NA,NA,NA,mtdna102
614,Epinephelus itajara,Atlantic goliath grouper,Craig et. al 2008 Endangered Species Research Preprint 1-8,Belize,Belize,16.1,-88.8,NA,,16S,24,590,0.083,NA,1.00E-04,NA,mtdna101
616,Epinephelus itajara,Atlantic goliath grouper,Craig et. al 2008 Endangered Species Research Preprint 1-8,Panama,Panama,8.983333333,-79.51666667,NA,,16S,25,590,0.156,NA,5.00E-04,NA,mtdna101
617,Epinephelus itajara,Atlantic goliath grouper,Craig et. al 2008 Endangered Species Research Preprint 1-8,USA,Florida,25.91666667,-81.63333333,NA,,16S,30,590,0.303,NA,6.00E-04,NA,mtdna101
618,Epinephelus merra,Honeycomb grouper,Matias et al. 2013 Mitochondrial DNA 24:584-595,Philippines,Alaminos,16.183643,120.018662,NA,,control region,14,485,0.99,0.0083,0.0155,5.00E-04,mtdna102
619,Epinephelus merra,Honeycomb grouper,Matias et al. 2013 Mitochondrial DNA 24:584-595,Philippines,Bolinao,16.363403,119.847298,NA,,control region,32,485,0.98,0.0023,0.015,3.00E-04,mtdna102
620,Epinephelus merra,Honeycomb grouper,Matias et al. 2013 Mitochondrial DNA 24:584-595,Philippines,Masinloc,15.532567,119.939888,NA,,control region,21,485,0.98,0.005,0.0184,5.00E-04,mtdna102
621,Epinephelus striatus,Nassau grouper,Jackson et al. 2014 PLoS ONE 9:e97508,Antigua and Barbuda,Antigua,17.084344,-61.815682,NA,2013,"ATPase, cytb",32,1419,0.954,NA,0.007,NA,mtdna102
622,Epinephelus striatus,Nassau grouper,Jackson et al. 2014 PLoS ONE 9:e97508,Bahamas, Dog Rocks,25.076431,-77.650077,NA,2011,"ATPase, cytb",4,1419,0.833,NA,0.0088,NA,mtdna102
623,Epinephelus striatus,Nassau grouper,Jackson et al. 2014 PLoS ONE 9:e97508,Bahamas,Lee Stocking,23.770821,-76.098563,NA,1994,"ATPase, cytb",4,1419,0.5,NA,0.0035,NA,mtdna102
624,Epinephelus striatus,Nassau grouper,Jackson et al. 2014 PLoS ONE 9:e97508,Bahamas,Long Island,23.221129,-75.086857,NA,2000,"ATPase, cytb",23,1419,0.834,NA,0.0052,NA,mtdna102
625,Epinephelus striatus,Nassau grouper,Jackson et al. 2014 PLoS ONE 9:e97508,Belize,Caye Glory,17.101271,-88.016452,NA,1995,"ATPase, cytb",12,1419,0.758,NA,8.00E-04,NA,mtdna102
626,Epinephelus striatus,Nassau grouper,Jackson et al. 2014 PLoS ONE 9:e97508,Belize,Glover's Reef,16.801109,-87.783634,NA,1994,"ATPase, cytb",21,1419,0.852,NA,0.007,NA,mtdna102
627,Epinephelus striatus,Nassau grouper,Jackson et al. 2014 PLoS ONE 9:e97508,Belize,Lighthouse Reef,17.314786,-87.555234,NA,1993,"ATPase, cytb",4,1419,0.667,NA,5.00E-04,NA,mtdna102
628,Epinephelus striatus,Nassau grouper,Jackson et al. 2014 PLoS ONE 9:e97508,Belize,Turneffe Atoll,17.45873,-87.827336,NA,1993,"ATPase, cytb",5,1419,0.7,NA,6.00E-04,NA,mtdna102
629,Epinephelus striatus,Nassau grouper,Jackson et al. 2014 PLoS ONE 9:e97508,Cayman Islands,Cayman Brac,19.727769,-79.802144,NA,2008,"ATPase, cytb",27,1419,0.732,NA,8.00E-04,NA,mtdna102
630,Epinephelus striatus,Nassau grouper,Jackson et al. 2014 PLoS ONE 9:e97508,Cayman Islands,Grand Cayman,19.331808,-81.239727,NA,2008,"ATPase, cytb",8,1419,0.893,NA,5.00E-04,NA,mtdna102
631,Epinephelus striatus,Nassau grouper,Jackson et al. 2014 PLoS ONE 9:e97508,Cayman Islands,Little Cayman,19.694094,-80.036071,NA,2005,"ATPase, cytb",72,1419,0.776,NA,0.0011,NA,mtdna102
632,Epinephelus striatus,Nassau grouper,Jackson et al. 2014 PLoS ONE 9:e97508,Cuba,Corona San Carlos,22.764705,-83.81429,NA,1996,"ATPase, cytb",14,1419,0.78,NA,9.00E-04,NA,mtdna102
633,Epinephelus striatus,Nassau grouper,Jackson et al. 2014 PLoS ONE 9:e97508,Cuba,Pardon del Medio,21.911116,-82.951863,NA,1996,"ATPase, cytb",17,1419,0.721,NA,0.0032,NA,mtdna102
634,Epinephelus striatus,Nassau grouper,Jackson et al. 2014 PLoS ONE 9:e97508,Mexico,Chinchorro Bank,18.590754,-87.357135,NA,2013,"ATPase, cytb",7,1419,0.857,NA,0.0071,NA,mtdna102
635,Epinephelus striatus,Nassau grouper,Jackson et al. 2014 PLoS ONE 9:e97508,Turks and Caicos,South Caicos,21.516011,-71.519643,NA,2011,"ATPase, cytb",32,1419,0.823,NA,0.0053,NA,mtdna102
636,Epinephelus striatus,Nassau grouper,Jackson et al. 2014 PLoS ONE 9:e97508,US Virgin Islands,Grammanik Bank,18.189632,-64.958086,NA,2010,"ATPase, cytb",72,1419,0.737,NA,0.0089,NA,mtdna102
637,Epinephelus striatus,Nassau grouper,Jackson et al. 2014 PLoS ONE 9:e97508,USA,Bajo de Sico,18.306786,-67.258937,NA,2013,"ATPase, cytb",10,1419,0.844,NA,0.0064,NA,mtdna102
638,Epinephelus striatus,Nassau grouper,Jackson et al. 2014 PLoS ONE 9:e97508,USA,Florida Keys,24.766114,-80.982893,NA,1994,"ATPase, cytb",31,1419,0.817,NA,0.0011,NA,mtdna102
639,Etelis carbunculus,Deep-water red snapper,Andrews et al. 2014 PLoS ONE 9:e91665,USA,Big Island,19.283722,-155.45665,NA,1998,cytb,73,436,0.23,NA,0.00056,NA,mtdna102
640,Etelis carbunculus,Deep-water red snapper,Andrews et al. 2014 PLoS ONE 9:e91665,USA,Brooks Banks,23.9,-166.3,NA,2005-2006,cytb,10,436,0.38,NA,0.00185,NA,mtdna102
641,Etelis carbunculus,Deep-water red snapper,Andrews et al. 2014 PLoS ONE 9:e91665,USA,Gardner,24.998991,-167.998729,NA,2006,cytb,31,436,0.49,NA,0.00141,NA,mtdna102
642,Etelis carbunculus,Deep-water red snapper,Andrews et al. 2014 PLoS ONE 9:e91665,USA,Kaua'i,22.080148,-159.527252,NA,1998,cytb,44,436,0.21,NA,0.00051,NA,mtdna102
644,Etelis carbunculus,Deep-water red snapper,Andrews et al. 2014 PLoS ONE 9:e91665,USA,Maro Reef,26.538935,-170.792546,NA,2006-2007,cytb,46,436,0.21,NA,6.00E-04,NA,mtdna102
645,Etelis carbunculus,Deep-water red snapper,Andrews et al. 2014 PLoS ONE 9:e91665,USA,Maui,20.800952,-156.087773,NA,2006,cytb,74,436,0.25,NA,0.00073,NA,mtdna102
646,Etelis carbunculus,Deep-water red snapper,Andrews et al. 2014 PLoS ONE 9:e91665,USA,Moloka'i,21.162501,-157.023202,NA,1998-2007,cytb,64,436,0.15,NA,0.00043,NA,mtdna102
647,Etelis carbunculus,Deep-water red snapper,Andrews et al. 2014 PLoS ONE 9:e91665,USA,Necker,23.575345,-164.70026,NA,1998-2007,cytb,64,436,0.24,NA,0.00064,NA,mtdna102
648,Etelis carbunculus,Deep-water red snapper,Andrews et al. 2014 PLoS ONE 9:e91665,USA,Ni'ihau,21.895325,-160.162123,NA,1998-2006,cytb,76,436,0.22,NA,6.00E-04,NA,mtdna102
649,Etelis carbunculus,Deep-water red snapper,Andrews et al. 2014 PLoS ONE 9:e91665,USA,Northampton,25.33438,-172.066624,NA,1998-2007,cytb,81,436,0.23,NA,0.00056,NA,mtdna102
650,Etelis carbunculus,Deep-water red snapper,Andrews et al. 2014 PLoS ONE 9:e91665,USA,O'ahu,21.566096,-158.110806,NA,1998-2007,cytb,34,436,0.17,NA,0.00054,NA,mtdna102
651,Etelis carbunculus,Deep-water red snapper,Andrews et al. 2014 PLoS ONE 9:e91665,USA,Raita,25.4,-168,NA,2005-2006,cytb,46,436,0.25,NA,8.00E-04,NA,mtdna102
653,Etelis carbunculus,Deep-water red snapper,Andrews et al. 2014 PLoS ONE 9:e91665,USA,St. Rogatien,24.7,-166.9,NA,2006,cytb,31,436,0.19,NA,0.00045,NA,mtdna102
654,Etelis carbunculus,Deep-water red snapper,Andrews et al. 2014 PLoS ONE 9:e91665,USA,Twin Banks,23.4,-162.5,NA,1998,cytb,71,436,0.24,NA,0.00065,NA,mtdna102
655,Etelis coruscans,Deepwater longtail red snapper,Andrews et al. 2014 PLoS ONE 9:e91665,USA,Big Island,19.283722,-155.45665,NA,1998,cytb,83,490,0.76,NA,0.0025,NA,mtdna102
656,Etelis coruscans,Deepwater longtail red snapper,Andrews et al. 2014 PLoS ONE 9:e91665,USA,Brooks Banks,23.9,-166.3,NA,2005-2006,cytb,76,490,0.69,NA,0.002,NA,mtdna102
657,Etelis coruscans,Deepwater longtail red snapper,Andrews et al. 2014 PLoS ONE 9:e91665,USA,Gardner,24.998991,-167.998729,NA,2006,cytb,104,490,0.78,NA,0.0027,NA,mtdna102
658,Etelis coruscans,Deepwater longtail red snapper,Andrews et al. 2014 PLoS ONE 9:e91665,USA,Kaho'olawe,20.561465,-156.603969,NA,2006,cytb,11,490,0.78,NA,0.0022,NA,mtdna102
659,Etelis coruscans,Deepwater longtail red snapper,Andrews et al. 2014 PLoS ONE 9:e91665,USA,Kaua'i,22.080148,-159.527252,NA,1998,cytb,69,490,0.76,NA,0.0028,NA,mtdna102
660,Etelis coruscans,Deepwater longtail red snapper,Andrews et al. 2014 PLoS ONE 9:e91665,USA,Lisianski,26.06671,-173.966682,NA,1998-2006,cytb,34,490,0.75,NA,0.0024,NA,mtdna102
661,Etelis coruscans,Deepwater longtail red snapper,Andrews et al. 2014 PLoS ONE 9:e91665,USA,Maro Reef,26.538935,-170.792546,NA,1998-2006,cytb,44,490,0.67,NA,0.0019,NA,mtdna102
662,Etelis coruscans,Deepwater longtail red snapper,Andrews et al. 2014 PLoS ONE 9:e91665,USA,Maui,20.800952,-156.087773,NA,2006-2007,cytb,50,490,0.73,NA,0.0021,NA,mtdna102
663,Etelis coruscans,Deepwater longtail red snapper,Andrews et al. 2014 PLoS ONE 9:e91665,USA,Moloka'i,21.162501,-157.023202,NA,1998,cytb,92,490,0.78,NA,0.0026,NA,mtdna102
664,Etelis coruscans,Deepwater longtail red snapper,Andrews et al. 2014 PLoS ONE 9:e91665,USA,Ni'ihau,21.895325,-160.162123,NA,2005-2006,cytb,51,490,0.76,NA,0.0024,NA,mtdna102
665,Etelis coruscans,Deepwater longtail red snapper,Andrews et al. 2014 PLoS ONE 9:e91665,USA,Nihoa,23.060978,-161.921577,NA,2007,cytb,43,490,0.79,NA,0.0028,NA,mtdna102
666,Etelis coruscans,Deepwater longtail red snapper,Andrews et al. 2014 PLoS ONE 9:e91665,USA,O'ahu,21.566096,-158.110806,NA,1997-2007,cytb,55,490,0.73,NA,0.0023,NA,mtdna102
667,Etelis coruscans,Deepwater longtail red snapper,Andrews et al. 2014 PLoS ONE 9:e91665,USA,Pearl & Hermes,27.859901,-175.841783,NA,1998,cytb,12,490,0.67,NA,0.0021,NA,mtdna102
668,Etelis coruscans,Deepwater longtail red snapper,Andrews et al. 2014 PLoS ONE 9:e91665,USA,Raita,25.4,-168,NA,2005-2006,cytb,26,490,0.74,NA,0.0024,NA,mtdna102
669,Etelis coruscans,Deepwater longtail red snapper,Andrews et al. 2014 PLoS ONE 9:e91665,USA,St. Rogatien,24.7,-166.9,NA,2005,cytb,23,490,0.84,NA,0.0039,NA,mtdna102
670,Etelis coruscans,Deepwater longtail red snapper,Andrews et al. 2014 PLoS ONE 9:e91665,USA,Twin Banks,23.4,-162.5,NA,1998,cytb,14,490,0.75,NA,0.0024,NA,mtdna102
