spp,CommonName,Source,Country,Site,lat_deg,lat_min,lat_sec,lon_deg,lon_min,lon_sec,CollectionYear,MarkerName,n,bp,He,Hese,Pi,Pise
Acanthurus nigrofuscus,Brown Surgeonfish,Eble et al. 2011 Journal of Marine Biology 2011:518516,Pacific Ocean,Kiritimati,1,8,6,-157,4,,2008,cytb,35,694,0.89,0.04,0.0032,0.002
Acanthurus nigrofuscus,Brown Surgeonfish,Eble et al. 2011 Journal of Marine Biology 2011:518516,South Pacific Ocean,Fiji,-18,,,179,,,2008,cytb,30,694,0.91,0.03,0.0031,0.002
Acanthurus nigrofuscus,Brown Surgeonfish,Eble et al. 2011 Journal of Marine Biology 2011:518516,Western Pacific Ocean,Palau,7,3,5,134,4,6,2008,cytb,36,694,0.9,0.03,0.0028,0.0018
Acanthurus nigrofuscus,Brown Surgeonfish,Eble et al. 2011 Journal of Marine Biology 2011:518516,French Polynesia,Moorea,-17,5,3,149,8,3,2008,cytb,31,694,0.78,0.08,0.003,0.0019
Acanthurus nigrofuscus,Brown Surgeonfish,Eble et al. 2011 Journal of Marine Biology 2011:518516,Indian Ocean,Christmas Island,-10,4,8,105,6,3,2008,cytb,51,694,0.85,0.03,0.0025,0.0016
Acanthurus nigrofuscus,Brown Surgeonfish,Eble et al. 2011 Journal of Marine Biology 2011:518516,Costa Rica,Cocos Islands,5,5,1,87,0,7,2008,cytb,32,694,0.88,0.04,0.003,0.0019
Acanthurus nigrofuscus,Brown Surgeonfish,Eble et al. 2011 Journal of Marine Biology 2011:518516,Indian Ocean,Diego Garcia,-7,3,1,72,4,1,2008,cytb,32,694,0.85,0.05,0.003,0.0017
Acanthurus nigrofuscus,Brown Surgeonfish,Eble et al. 2011 Journal of Marine Biology 2011:518516,Indian Ocean,Seychelles,-4,6,1,55,4,5,2008,cytb,32,694,0.72,0.07,0.0017,0.0012
Zebrasoma flavescens,Yellow Tang,Eble et al. 2011 Marine Ecology Progress Series 428:245-258,Pacific Ocean,Chichi-jima,30,,,142,,,,cytb,32,614,0.85,0.06,0.003,0.002
Zebrasoma flavescens,Yellow Tang,Eble et al. 2011 Marine Ecology Progress Series 428:245-258,Pacific Ocean,Saipan,20,,,142,,,,cytb,33,614,0.85,0.05,0.003,0.002
Zebrasoma flavescens,Yellow Tang,Eble et al. 2011 Marine Ecology Progress Series 428:245-258,Pacific Ocean,Pohnpei,17,,,145,,,,cytb,29,614,0.7,0.1,0.002,0.002
Zebrasoma flavescens,Yellow Tang,Eble et al. 2011 Marine Ecology Progress Series 428:245-258,Pacific Ocean,Johnston Atoll,18,,,170,,,,cytb,32,614,0.79,0.03,0.003,0.002
Zebrasoma flavescens,Yellow Tang,Eble et al. 2011 Marine Ecology Progress Series 428:245-258,Pacific Ocean,Kure Atoll,30,,,175,,,,cytb,35,614,0.8,0.04,0.004,0.002
Zebrasoma flavescens,Yellow Tang,Eble et al. 2011 Marine Ecology Progress Series 428:245-258,Pacific Ocean,Midway Atoll,28,,,174,,,,cytb,33,614,0.74,0.04,0.004,0.002
Zebrasoma flavescens,Yellow Tang,Eble et al. 2011 Marine Ecology Progress Series 428:245-258,Pacific Ocean,Pearl & Hermes Atoll,26,,,173,,,,cytb,29,614,0.77,0.04,0.004,0.002
Zebrasoma flavescens,Yellow Tang,Eble et al. 2011 Marine Ecology Progress Series 428:245-258,Pacific Ocean,Maro Reef,25,,,171,,,,cytb,26,614,0.7,0.04,0.003,0.002
Zebrasoma flavescens,Yellow Tang,Eble et al. 2011 Marine Ecology Progress Series 428:245-258,Pacific Ocean,French Frigate Atoll,24,5,,168,,,,cytb,40,614,0.73,0.03,0.003,0.002
Zebrasoma flavescens,Yellow Tang,Eble et al. 2011 Marine Ecology Progress Series 428:245-258,Pacific Ocean,Nihoa,23,,,164,,,,cytb,20,614,0.81,0.05,0.004,0.002
Zebrasoma flavescens,Yellow Tang,Eble et al. 2011 Marine Ecology Progress Series 428:245-258,Pacific Ocean,Kauai,22,0,8,-159,5,,,cytb,42,614,0.71,0.04,0.003,0.002
Zebrasoma flavescens,Yellow Tang,Eble et al. 2011 Marine Ecology Progress Series 428:245-258,Pacific Ocean,Oahu,21,4,6,-157,9,8,,cytb,35,614,0.7,0.04,0.003,0.002
Zebrasoma flavescens,Yellow Tang,Eble et al. 2011 Marine Ecology Progress Series 428:245-258,Pacific Ocean,Molokai,21,1,3,-157,0,3,,cytb,48,614,0.7,0.04,0.004,0.003
Zebrasoma flavescens,Yellow Tang,Eble et al. 2011 Marine Ecology Progress Series 428:245-258,Pacific Ocean,Maui,20,8,,-156,3,3,,cytb,39,614,0.76,0.003,0.003,0.002
Zebrasoma flavescens,Yellow Tang,Eble et al. 2011 Marine Ecology Progress Series 428:245-258,Pacific Ocean,Lanai,20,8,3,-156,9,3,,cytb,35,614,0.69,0.06,0.003,0.002
Zebrasoma flavescens,Yellow Tang,Eble et al. 2011 Marine Ecology Progress Series 428:245-258,Pacific Ocean,Wawaloli,19,7,1,-156,0,5,,cytb,31,614,0.74,0.05,0.003,0.002
Zebrasoma flavescens,Yellow Tang,Eble et al. 2011 Marine Ecology Progress Series 428:245-258,Pacific Ocean,Kealakekua,19,4,7,155,9,2,,cytb,36,614,0.78,0.05,0.004,0.003
Zebrasoma flavescens,Yellow Tang,Eble et al. 2011 Marine Ecology Progress Series 428:245-258,Pacific Ocean,South Point,19,,,155,,,,cytb,37,614,0.7,0.04,0.003,0.002
Zebrasoma flavescens,Yellow Tang,Eble et al. 2011 Marine Ecology Progress Series 428:245-258,Pacific Ocean,Hilo,20,,,154,,,,cytb,42,614,0.69,0.04,0.003,0.002
Plectropomus maculatus ,Spotted coralgrouper ,Evans et al. 2010 Fisheries Research 102:16-25,Australia ,Palm Islands ,-18,,,146,,,2006.5,hyper-variable region I ,30,595,0.948,,0.012,0.007
Plectropomus maculatus ,Spotted coralgrouper ,Evans et al. 2010 Fisheries Research 102:16-25,Australia ,Whitsunday Islands ,-20,,,148,,,2006.5,hyper-variable region I ,43,595,0.948,,0.016,0.008
Plectropomus maculatus ,Spotted coralgrouper ,Evans et al. 2010 Fisheries Research 102:16-25,Australia ,Keppel Islands ,-23,,,150,,,2006.5,hyper-variable region I ,51,595,0.967,,0.017,0.009
Plectropomus maculatus ,Spotted coralgrouper ,Evans et al. 2010 Fisheries Research 102:16-25,Australia ,Capricorn Bunker Islands ,-23,,,151,,,2006.5,hyper-variable region I ,40,595,0.982,,0.014,0.007
Lutjanus carponotatus ,Spanish flag snapper ,Evans et al. 2010 Fisheries Research 102:16-25,Australia ,Palm Islands ,-18,,,146,,,2006.5,hyper-variable region I ,42,392,0.804,,0.013,0.007
Lutjanus carponotatus ,Spanish flag snapper ,Evans et al. 2010 Fisheries Research 102:16-25,Australia ,Whitsunday Islands ,-20,,,148,,,2006.5,hyper-variable region I ,58,392,0.794,,0.009,0.005
Lutjanus carponotatus ,Spanish flag snapper ,Evans et al. 2010 Fisheries Research 102:16-25,Australia ,Keppel Islands ,-23,,,150,,,2006.5,hyper-variable region I ,45,392,0.662,,0.012,0.007
Lutjanus carponotatus ,Spanish flag snapper ,Evans et al. 2010 Fisheries Research 102:16-25,Australia ,Capricorn Bunker Islands ,-23,,,151,,,2006.5,hyper-variable region I ,43,392,0.78,,0.012,0.006
Eviota albolineata ,Spotted fringefin goby ,Farnsworth et al. 2010 Marine Biology 157:945-953 ,Australia ,North Direction Island & Lizard Island ,-14,,,145,,,,COI ,39,392,0.95,,0.0105,0.0059
Eviota albolineata ,Spotted fringefin goby ,Farnsworth et al. 2010 Marine Biology 157:945-953 ,Australia ,Hicks Reef & Day Reef ,-14,,,145,,,,COI ,41,392,0.92,,0.009,0.0052
Eviota queenslandica ,Queensland dwarfgoby ,Farnsworth et al. 2010 Marine Biology 157:945-953 ,Australia ,Martin Reef & Linnet Reef ,-14,,,145,,,,COI ,13,408,0.91,,0.0101,0.0033
Eviota queenslandica ,Queensland dwarfgoby ,Farnsworth et al. 2010 Marine Biology 157:945-953 ,Australia ,North Direction Island & Lizard Island ,-14,,,145,,,,COI ,21,408,0.76,,0.017,0.0043
Scomberomorus commerson,narrow-barred Spanish mackerel,Fauvelot & Borso 2001 Biological Journal of the Linnean Society 104: 886-902,Papua New Guinea,West Papua,-0.597565,,,131.055583,,,2008,cyt b,8,310,0.929,,0.023,
Scomberomorus commerson,narrow-barred Spanish mackerel,Fauvelot & Borso 2001 Biological Journal of the Linnean Society 104: 886-902,Australia,Coral Sea,-20.320064,,,163.746228,,,2008,cyt b,200,310,0.817,,0.041,
Lipophrys pholis,Shanny,Francisco Vieira Almada 2006,Portugal,Cabo Mundo,41,11,,-8,42,,2004,control region,27,380,0.991,,0.033,
Lipophrys pholis,Shanny,Francisco Vieira Almada 2006,Portugal,Estoril,38,42,,-9,22,,2004,control region,31,380,0.991,,0.031,
Lipophrys pholis,Shanny,Francisco Vieira Almada 2006,Portugal,Lagos,37,5,,-8,41,,2004,control region,31,380,0.99,,0.032,
Lipophrys pholis,Shanny,"Francisco, Faria, Lengkeek et al. 2011",The Netherlands,Neeltje Jans,51.7,,,3,7,0,,Control region,19,380,1,,0.028,
Lipophrys pholis,Shanny,"Francisco, Faria, Lengkeek et al. 2011",France,Carantec,48.72,,,-3,9,1,,Control region,24,380,0.996,,0.033,
Lipophrys pholis,Shanny,"Francisco, Faria, Lengkeek et al. 2011",Spain,Gijon,43.676,,,-5,7,,,Control region,20,380,0.984,,0.03,
Lipophrys pholis,Shanny,"Francisco, Faria, Lengkeek et al. 2011",Spain,Camarinas,43.293,,,-9,1,8,,Control region,21,380,0.981,,0.029,
Lipophrys pholis,Shanny,"Francisco, Faria, Lengkeek et al. 2011",Portugal,Cabo-do-Mundo,41.224,,,-7,6,8,,Control region,27,380,0.992,,0.033,
Lipophrys pholis,Shanny,"Francisco, Faria, Lengkeek et al. 2011",Portugal,Estoril,38.71,,,-9,3,9,,Control region,31,380,0.991,,0.031,
Lipophrys pholis,Shanny,"Francisco, Faria, Lengkeek et al. 2011",Portugal,Lagos,37.104,,,3,3,9,,Control region,31,380,0.989,,0.031,
Lipophrys pholis,Shanny,"Francisco, Faria, Lengkeek et al. 2011",Spain,Cadiz,36.518,,,-6,2,8,,Control region,15,380,1,,0.028,
Beryx decadactylus ,Alfonsino ,Friess & Sedberry 2011 Journal of Fish Biology 78:466-478,United States,Charleston Bump ,32.0936,,,-75.9942,,,2005,control region ,141,403,0.799,,0.0041,
Larabicus quadrilineatus,Fourline wrasse,Froukh Koschzius 2007,Jordan,Aqaba,29.52,,,34.963512,,,2003,control region,52,369,0.8,,0.0038,
Larabicus quadrilineatus,Fourline wrasse,Froukh Koschzius 2007,Egypt,Tor,28.26,,,33.551447,,,2003,control region,48,369,0.92,,0.0064,
Larabicus quadrilineatus,Fourline wrasse,Froukh Koschzius 2007,Saudi Arabia,Thuwal,22.19,,,38.900958,,,2003,control region,46,369,0.86,,0.0054,
Larabicus quadrilineatus,Fourline wrasse,Froukh Koschzius 2007,Saudi Arabia,Lith,20.18,,,39.916108,,,2003,control region,39,369,0.95,,0.0082,
Larabicus quadrilineatus,Fourline wrasse,Froukh Koschzius 2007,Yemen,Hodeidah,14.8,,,42.864672,,,2003,control region,52,369,0.95,,0.0079,
Lutjanus kasmira ,Alfonsino ,Gaither et al. 2010 Journal of Biogeography 37:133-147 ,United Kingdom (British Indian Ocean Territory)  ,Diego Garcia ,-7.3299,,,72.3836,,,,cytochrome b ,34,475,0.88,0.05,0.005,0.003
Lutjanus kasmira ,Alfonsino ,Gaither et al. 2010 Journal of Biogeography 37:133-147 ,Republic of the Seychelles ,Seychelles ,-4.5029,,,55.5814,,,,cytochrome b ,20,475,0.74,0.11,0.004,0.003
Lutjanus kasmira ,Alfonsino ,Gaither et al. 2010 Journal of Biogeography 37:133-147 ,South Africa ,Sodwana Bay ,-29.1359,,,31.8612,,,,cytochrome b ,35,475,0.82,0.06,0.004,0.003
Lutjanus kasmira ,Alfonsino ,Gaither et al. 2010 Journal of Biogeography 37:133-147 ,Australia ,Cocos-Keeling ,-12.1489,,,96.8648,,,,cytochrome b ,35,475,0.54,0.1,0.002,0.002
Lutjanus kasmira ,Alfonsino ,Gaither et al. 2010 Journal of Biogeography 37:133-147 ,Australia ,Christmas Island ,-10.4139,,,105.6128,,,,cytochrome b ,15,475,0.84,0.09,0.003,0.002
Lutjanus kasmira ,Alfonsino ,Gaither et al. 2010 Journal of Biogeography 37:133-147 ,United States,Guam ,13.5083,,,144.5962,,,,cytochrome b ,50,475,0.59,0.08,0.002,0.002
Lutjanus kasmira ,Alfonsino ,Gaither et al. 2010 Journal of Biogeography 37:133-147 ,Republic of Fiji,Fiji ,-17.1636,,,177.9207,,,,cytochrome b ,31,475,0.5,0.11,0.001,0.001
Lutjanus kasmira ,Alfonsino ,Gaither et al. 2010 Journal of Biogeography 37:133-147 ,Republic of Kiribati ,Kiritimati ,1.7632,,,-157.4777,,,,cytochrome b ,49,475,0.69,0.07,0.003,0.002
Lutjanus kasmira ,Alfonsino ,Gaither et al. 2010 Journal of Biogeography 37:133-147 ,French Polynesia ,Marquesas ,-9.8451,,,-138.9919,,,,cytochrome b ,47,475,0.84,0.04,0.004,0.003
Lutjanus kasmira ,Alfonsino ,Gaither et al. 2010 Journal of Biogeography 37:133-147 ,French Polynesia ,Moorea ,-17.4846,,,-149.8646,,,,cytochrome b ,49,475,0.54,0.08,0.002,0.001
Lutjanus fulvus ,Blacktail Snapper ,Gaither et al. 2010 Journal of Biogeography 37:133-147 ,French Polynesia ,Marquesas ,-9.8451,,,-138.9919,,,,cytochrome b ,48,480,0.72,0.04,0.002,0.002
Lutjanus fulvus ,Blacktail Snapper ,Gaither et al. 2010 Journal of Biogeography 37:133-147 ,French Polynesia ,Moorea ,-17.4846,,,-149.8646,,,,cytochrome b ,48,480,0.12,0.06,0.0003,0.001
Lutjanus fulvus ,Blacktail Snapper ,Gaither et al. 2010 Journal of Biogeography 37:133-147 ,Republic of Kiribati ,Kiritimati ,1.7632,,,-157.4777,,,,cytochrome b ,15,480,0.34,0.13,0.001,0.001
Lutjanus fulvus ,Blacktail Snapper ,Gaither et al. 2010 Journal of Biogeography 37:133-147 ,Republic of Kiribati ,Kanton ,-2.7947,,,-171.6292,,,,cytochrome b ,46,480,0.66,0.08,0.003,0.002
Lutjanus fulvus ,Blacktail Snapper ,Gaither et al. 2010 Journal of Biogeography 37:133-147 ,Australia ,Cocos-Keeling ,-12.1489,,,96.8648,,,,cytochrome b ,9,480,0.78,0.11,0.003,0.002
Lutjanus kasmira ,Bluestriped Snapper ,Gaither et al. 2010 Molecular Ecology 19:1107-1121,United States,Oahu,21.131,,,-158.113,,,,control region,50,575,0.992,0.006,0.033,0.017
Lutjanus kasmira ,Bluestriped Snapper ,Gaither et al. 2010 Molecular Ecology 19:1107-1121,United States,Kona ,19.08,,,-156.27,,,,control region,50,575,0.989,0.007,0.038,0.019
Lutjanus kasmira ,Bluestriped Snapper ,Gaither et al. 2010 Molecular Ecology 19:1107-1121,United States,Hilo ,20.07,,,-154.95,,,,control region,51,575,0.985,0.008,0.037,0.018
Lutjanus kasmira ,Bluestriped Snapper ,Gaither et al. 2010 Molecular Ecology 19:1107-1121,United States,Maui Nui ,21.3,,,-156.498,,,,control region,39,575,0.985,0.011,0.034,0.017
Lutjanus kasmira ,Bluestriped Snapper ,Gaither et al. 2010 Molecular Ecology 19:1107-1121,United States,Kauai ,22.472,,,-159.712,,,,control region,36,575,0.989,0.01,0.035,0.018
Lutjanus kasmira ,Bluestriped Snapper ,Gaither et al. 2010 Molecular Ecology 19:1107-1121,United States,Necker ,23.5685,,,-164.7032,,,,control region,49,575,0.986,0.008,0.035,0.018
Lutjanus kasmira ,Bluestriped Snapper ,Gaither et al. 2010 Molecular Ecology 19:1107-1121,United States,Maro ,23.5029,,,-170.2849,,,,control region,21,575,0.981,0.023,0.036,0.018
Lutjanus kasmira ,Bluestriped Snapper ,Gaither et al. 2010 Molecular Ecology 19:1107-1121,United States,French Frigate Shoals ,24.1701,,,-165.8272,,,,control region,40,575,0.997,0.006,0.033,0.017
Lutjanus kasmira ,Bluestriped Snapper ,Gaither et al. 2010 Molecular Ecology 19:1107-1121,United States,Midway ,28.1884,,,-177.4215,,,,control region,40,575,0.989,0.009,0.046,0.023
Lutjanus kasmira ,Bluestriped Snapper ,Gaither et al. 2010 Molecular Ecology 19:1107-1121,United States,Kure ,28.4176,,,-178.2825,,,,control region,9,575,1,0.052,0.034,0.019
Cephalopholis argus ,Peacock hind ,Gaither et al. 2011 BMC Evolutionary Biology 11:1-16,French Polynesia ,Marquesas ,-9.7945,,,-138.7697,,,,cytochrome b ,50,729,0.65,0.06,0.002,0.001
Cephalopholis argus ,Peacock hind ,Gaither et al. 2011 BMC Evolutionary Biology 11:1-16,French Polynesia ,Moorea ,-17.5197,,,-149.7481,,,,cytochrome b ,36,729,0.38,0.1,0.001,0.001
Cephalopholis argus ,Peacock hind ,Gaither et al. 2011 BMC Evolutionary Biology 11:1-16,Republic of Kiribati ,Kiritimati ,1.8735,,,-157.2652,,,,cytochrome b ,32,729,0.74,0.005,0.003,0.002
Cephalopholis argus ,Peacock hind ,Gaither et al. 2011 BMC Evolutionary Biology 11:1-16,United States,Palmyra ,5.9023,,,-162.0788,,,,cytochrome b ,29,729,0.65,0.07,0.002,0.002
Cephalopholis argus ,Peacock hind ,Gaither et al. 2011 BMC Evolutionary Biology 11:1-16,New Zealand ,Somoa/Tokelau ,-9.1568,,,-171.7664,,,,cytochrome b ,27,729,0.64,0.07,0.001,0.001
Cephalopholis argus ,Peacock hind ,Gaither et al. 2011 BMC Evolutionary Biology 11:1-16,United States,Baker/Howland ,0.479,,,-176.5281,,,,cytochrome b ,27,729,0.68,0.06,0.002,0.001
Cephalopholis argus ,Peacock hind ,Gaither et al. 2011 BMC Evolutionary Biology 11:1-16,Republic of the Marshall Islands ,Kwajalein ,9.2597,,,167.6182,,,,cytochrome b ,22,729,0.86,0.05,0.005,0.003
Cephalopholis argus ,Peacock hind ,Gaither et al. 2011 BMC Evolutionary Biology 11:1-16,Federated States of Micronesia ,Pohnpei ,6.9247,,,158.346,,,,cytochrome b ,15,729,0.74,0.09,0.004,0.002
Cephalopholis argus ,Peacock hind ,Gaither et al. 2011 BMC Evolutionary Biology 11:1-16,United States,Saipan ,15.1608,,,145.8097,,,,cytochrome b ,19,729,0.77,0.07,0.003,0.002
Cephalopholis argus ,Peacock hind ,Gaither et al. 2011 BMC Evolutionary Biology 11:1-16,Republic of Palau ,Palau ,7.4294,,,134.6824,,,,cytochrome b ,22,729,0.77,0.07,0.004,0.002
Cephalopholis argus ,Peacock hind ,Gaither et al. 2011 BMC Evolutionary Biology 11:1-16,Australia ,Lizard Island ,-14.6643,,,145.4474,,,,cytochrome b ,12,729,0.67,0.14,0.001,0.001
Cephalopholis argus ,Peacock hind ,Gaither et al. 2011 BMC Evolutionary Biology 11:1-16,Republic of the Philippines ,Phillipines ,12.3222,,,118.2987,,,,cytochrome b ,6,729,0.87,0.13,0.009,0.006
Cephalopholis argus ,Peacock hind ,Gaither et al. 2011 BMC Evolutionary Biology 11:1-16,Republic of Indonesia ,Bali ,-7.9813,,,115.3964,,,,cytochrome b ,23,729,0.81,0.05,0.005,0.003
Cephalopholis argus ,Peacock hind ,Gaither et al. 2011 BMC Evolutionary Biology 11:1-16,Australia ,Scott Reef ,-14.0268,,,121.9596,,,,cytochrome b ,42,729,0.73,0.05,0.004,0.002
Cephalopholis argus ,Peacock hind ,Gaither et al. 2011 BMC Evolutionary Biology 11:1-16,Australia ,Rowley Shoals ,-17.3701,,,119.1637,,,,cytochrome b ,40,729,0.81,0.04,0.005,0.003
Cephalopholis argus ,Peacock hind ,Gaither et al. 2011 BMC Evolutionary Biology 11:1-16,Australia ,Christmas Island ,-10.4954,,,105.6947,,,,cytochrome b ,49,729,0.83,0.02,0.006,0.004
Cephalopholis argus ,Peacock hind ,Gaither et al. 2011 BMC Evolutionary Biology 11:1-16,Australia ,Cocos/Keeling ,-12.1363,,,96.7984,,,,cytochrome b ,40,729,0.87,0.02,0.006,0.004
Cephalopholis argus ,Peacock hind ,Gaither et al. 2011 BMC Evolutionary Biology 11:1-16,Republic of Indonesia ,Sumatra,6.035,,,94.6193,,,,cytochrome b ,4,729,0.83,0.22,0.007,0.005
Cephalopholis argus ,Peacock hind ,Gaither et al. 2011 BMC Evolutionary Biology 11:1-16,United Kingdom (British Indian Ocean Territory)  ,Diego Garcia ,-7.3262,,,72.5026,,,,cytochrome b ,33,729,0.87,0.03,0.003,0.002
Cephalopholis argus ,Peacock hind ,Gaither et al. 2011 BMC Evolutionary Biology 11:1-16,Oman ,Oman ,20.4765,,,59.4271,,,,cytochrome b ,9,729,0.81,0.12,0.006,0.003
Cephalopholis argus ,Peacock hind ,Gaither et al. 2011 BMC Evolutionary Biology 11:1-16,Republic of Seychelles ,Seychelles ,-4.5421,,,55.4296,,,,cytochrome b ,13,729,0.96,0.04,0.003,0.002
Pristipomoides filamentosus ,Crimson jobfish ,Gaither et al. 2011 PLoS ONE 6:1-13,United States,Hawai'i Island ,19.08,,,-156.27,,,,cytochrome b ,75,503,0.13,0.05,0.0003,0.0004
Pristipomoides filamentosus ,Crimson jobfish ,Gaither et al. 2011 PLoS ONE 6:1-13,United States,Maui ,21.3,,,-156.498,,,,cytochrome b ,79,503,0.26,0.07,0.0006,0.0007
Pristipomoides filamentosus ,Crimson jobfish ,Gaither et al. 2011 PLoS ONE 6:1-13,United States,Lana'i ,20.723,,,-157.0447,,,,cytochrome b ,75,503,0.2,0.06,0.0004,0.0006
Pristipomoides filamentosus ,Crimson jobfish ,Gaither et al. 2011 PLoS ONE 6:1-13,United States,Moloka'i ,21.3127,,,-157.0227,,,,cytochrome b ,73,503,0.23,0.07,0.0005,0.0006
Pristipomoides filamentosus ,Crimson jobfish ,Gaither et al. 2011 PLoS ONE 6:1-13,United States,Penguin Banks ,21.0276,,,-157.505,,,,cytochrome b ,29,503,0.26,0.07,0.0006,0.0007
Pristipomoides filamentosus ,Crimson jobfish ,Gaither et al. 2011 PLoS ONE 6:1-13,United States,O'ahu,21.131,,,-158.113,,,,cytochrome b ,66,503,0.2,0.07,0.0004,0.0006
Pristipomoides filamentosus ,Crimson jobfish ,Gaither et al. 2011 PLoS ONE 6:1-13,United States,Kaua'i ,22.472,,,-159.712,,,,cytochrome b ,38,503,0.29,0.1,0.0006,0.0007
Pristipomoides filamentosus ,Crimson jobfish ,Gaither et al. 2011 PLoS ONE 6:1-13,United States,Brooks Banks ,24.1932,,,-167.9009,,,,cytochrome b ,103,503,0.29,0.06,0.0006,0.0007
Pristipomoides filamentosus ,Crimson jobfish ,Gaither et al. 2011 PLoS ONE 6:1-13,United States,St. Rogatien ,24.4256,,,-167.2286,,,,cytochrome b ,71,503,0.24,0.07,0.0005,0.0006
Pristipomoides filamentosus ,Crimson jobfish ,Gaither et al. 2011 PLoS ONE 6:1-13,United States,Gardner ,24.7283,,,-168.4302,,,,cytochrome b ,52,503,0.29,0.08,0.0006,0.0007
Pristipomoides filamentosus ,Crimson jobfish ,Gaither et al. 2011 PLoS ONE 6:1-13,United States,Raita ,25.6785,,,-169.4718,,,,cytochrome b ,35,503,0.22,0.09,0.0005,0.0006
Pristipomoides filamentosus ,Crimson jobfish ,Gaither et al. 2011 PLoS ONE 6:1-13,United States,Maro ,23.5029,,,-170.2849,,,,cytochrome b ,19,503,0.11,0.09,0.0002,0.0004
Pristipomoides filamentosus ,Crimson jobfish ,Gaither et al. 2011 PLoS ONE 6:1-13,United States,North Hampton ,25.387,,,-172.1727,,,,cytochrome b ,11,503,0.18,0.14,0.0004,0.0006
Pristipomoides filamentosus ,Crimson jobfish ,Gaither et al. 2011 PLoS ONE 6:1-13,United States,Pioneer ,25.8858,,,-173.3359,,,,cytochrome b ,56,503,0.11,0.06,0.0002,0.0004
Pristipomoides filamentosus ,Crimson jobfish ,Gaither et al. 2011 PLoS ONE 6:1-13,United States,Salmon Banks,27.0253,,,-176.86,,,,cytochrome b ,8,503,0.46,0.2,0.001,0.0011
Pristipomoides filamentosus ,Crimson jobfish ,Gaither et al. 2011 PLoS ONE 6:1-13,Kingdom of Tonga ,Tonga ,-21.571,,,-174.1436,,,,cytochrome b ,48,503,0.63,0.08,0.0006,0.0007
Pristipomoides filamentosus ,Crimson jobfish ,Gaither et al. 2011 PLoS ONE 6:1-13,France ,New Caledonia ,-19.7338,,,163.2644,,,,cytochrome b ,52,503,0.62,0.08,0.0019,0.0014
Pristipomoides filamentosus ,Crimson jobfish ,Gaither et al. 2011 PLoS ONE 6:1-13,United States,Guam ,13.5437,,,144.6989,,,,cytochrome b ,7,503,0.71,0.18,0.0017,0.0016
Pristipomoides filamentosus ,Crimson jobfish ,Gaither et al. 2011 PLoS ONE 6:1-13,Australia ,Ashmore Reef,-12.181,,,122.968,,,,cytochrome b ,49,503,0.63,0.08,0.002,0.0015
Pristipomoides filamentosus ,Crimson jobfish ,Gaither et al. 2011 PLoS ONE 6:1-13,Australia ,Gascoyne,-24.4265,,,113.1956,,,,cytochrome b ,44,503,0.7,0.08,0.0021,0.0016
Pristipomoides filamentosus ,Crimson jobfish ,Gaither et al. 2011 PLoS ONE 6:1-13,Australia ,Scott Reef ,-13.9864,,,121.775,,,,cytochrome b ,57,503,0.68,0.07,0.0018,0.0014
Pristipomoides filamentosus ,Crimson jobfish ,Gaither et al. 2011 PLoS ONE 6:1-13,Australia ,Rowley Shoals ,-17.3682,,,119.1789,,,,cytochrome b ,75,503,0.59,0.07,0.0018,0.0014
Pristipomoides filamentosus ,Crimson jobfish ,Gaither et al. 2011 PLoS ONE 6:1-13,Australia ,Christmas Island ,-10.5641,,,105.7085,,,,cytochrome b ,24,503,0.81,0.07,0.0024,0.0018
Pristipomoides filamentosus ,Crimson jobfish ,Gaither et al. 2011 PLoS ONE 6:1-13,Republic of Seychelles ,Seychelles ,-4.5251,,,55.4356,,,,cytochrome b ,48,503,0.61,0.08,0.0019,0.0015
Lutjanus fulvus ,Blacktail Snapper ,Gaither et al. 2012 Proceedings of the Royal Society B 279:3948-3957,United States,Hawai'i Island ,19.5803,,,-156.0226,,,,cytochrome b ,40,480,0.73,0.04,0.007,0.004
Lutjanus fulvus ,Blacktail Snapper ,Gaither et al. 2012 Proceedings of the Royal Society B 279:3948-3957,United States,Maui,20.5068,,,-156.45,,,,cytochrome b ,41,480,0.75,0.04,0.007,0.004
Lutjanus fulvus ,Blacktail Snapper ,Gaither et al. 2012 Proceedings of the Royal Society B 279:3948-3957,United States,O'ahu,21.4925,,,-158.3121,,,,cytochrome b ,40,480,0.73,0.05,0.007,0.004
Lutjanus fulvus ,Blacktail Snapper ,Gaither et al. 2012 Proceedings of the Royal Society B 279:3948-3957,United States,Kaua'i ,21.8872,,,-159.681,,,,cytochrome b ,36,480,0.77,0.05,0.007,0.004
Cephalopholis argus ,Peacock hind ,Gaither et al. 2012 Proceedings of the Royal Society B 279:3948-3957,United States,Hawai'i Island ,19.5803,,,-156.0226,,,,cytochrome b ,51,615,0.52,0.07,0.001,0.001
Cephalopholis argus ,Peacock hind ,Gaither et al. 2012 Proceedings of the Royal Society B 279:3948-3957,United States,Maui,20.5068,,,-156.45,,,,cytochrome b ,53,615,0.55,0.04,0.001,0.001
Cephalopholis argus ,Peacock hind ,Gaither et al. 2012 Proceedings of the Royal Society B 279:3948-3957,United States,O'ahu,21.4925,,,-158.3121,,,,cytochrome b ,53,615,0.61,0.05,0.001,0.001
Cephalopholis argus ,Peacock hind ,Gaither et al. 2012 Proceedings of the Royal Society B 279:3948-3957,United States,Kaua'i ,21.8872,,,-159.681,,,,cytochrome b ,53,615,0.59,0.05,0.001,0.001
