fbsci,Country,Site,stockid,spp,CommonName,Source,CollectionYear,MarkerName,n,bp,He,Hese,Pi,Pise,lat,lon
Hoplostethus atlanticus,Northeast Atlantic,Porcupine Bank,NA,Hoplostethus atlanticus,Orange roughy,Varela et. al 2012 Marine Biology 159:1049-1060,,COI,51,630,0.831,0.005321064,0.00466,6.02E-05,49.5,-17.3
Hoplostethus atlanticus,Northeast Atlantic,Sedlo,NA,Hoplostethus atlanticus,Orange roughy,Varela et. al 2012 Marine Biology 159:1049-1060,,COI,42,630,0.837,0.006017831,0.00445,7.56E-05,42.8,-21.7
Hyperoglyphe antarctica,Australia,ETas,NA,Hyperoglyphe antarctica,Bluenose warehou,Robinson et. al 2008 Marine and Freshwater Research 59:502-514,,control region,37,208,0.857,NA,0.018,NA,-43,148
Hyperoglyphe antarctica,Australia,EVic,NA,Hyperoglyphe antarctica,Bluenose warehou,Robinson et. al 2008 Marine and Freshwater Research 59:502-514,,control region,45,208,0.921,NA,0.02,NA,-37,150
Hyperoglyphe antarctica,Australia,NSW,NA,Hyperoglyphe antarctica,Bluenose warehou,Robinson et. al 2008 Marine and Freshwater Research 59:502-514,,control region,27,208,0.821,NA,0.015,NA,-35,152
Hyperoglyphe antarctica,Australia,SA,NA,Hyperoglyphe antarctica,Bluenose warehou,Robinson et. al 2008 Marine and Freshwater Research 59:502-514,,control region,41,208,0.911,NA,0.02,NA,-37,138
Hyperoglyphe antarctica,Australia,STas,NA,Hyperoglyphe antarctica,Bluenose warehou,Robinson et. al 2008 Marine and Freshwater Research 59:502-514,,control region,38,208,0.903,NA,0.017,NA,-44,146
Hyperoglyphe antarctica,Australia,WTas,NA,Hyperoglyphe antarctica,Bluenose warehou,Robinson et. al 2008 Marine and Freshwater Research 59:502-514,,control region,44,208,0.85,NA,0.014,NA,-42,144
Hyperoglyphe antarctica,Australia,WVic,NA,Hyperoglyphe antarctica,Bluenose warehou,Robinson et. al 2008 Marine and Freshwater Research 59:502-514,,control region,9,208,0.917,NA,0.025,NA,-39,142
Hyperoglyphe antarctica,New Zealand,ECDW,BNSNZ,Hyperoglyphe antarctica,Bluenose warehou,Robinson et. al 2008 Marine and Freshwater Research 59:502-514,,control region,39,208,0.877,NA,0.019,NA,-33,163
Hyperoglyphe antarctica,New Zealand,NZ,BNSNZ,Hyperoglyphe antarctica,Bluenose warehou,Robinson et. al 2008 Marine and Freshwater Research 59:502-514,,control region,40,208,0.885,NA,0.017,NA,-38,172
Katsuwonus pelamis,Coast of India ,Kochi,SKJCIO,Katsuwonus pelamis,Skipjack tuna ,Menezez et al. 2012 Journal of Fish Biology 80:2198-2212,,control region ,46,580,1,NA,0.115,NA,9.58,76.17
Katsuwonus pelamis,Coast of India ,Minicoy,SKJCIO,Katsuwonus pelamis,Skipjack tuna ,Menezez et al. 2012 Journal of Fish Biology 80:2198-2212,,control region ,50,580,1,NA,0.101,NA,8.1,73
Katsuwonus pelamis,Coast of India ,Pondicherry,SKJCIO,Katsuwonus pelamis,Skipjack tuna ,Menezez et al. 2012 Journal of Fish Biology 80:2198-2212,,control region ,48,580,1,NA,0.105,NA,11.59767,79.906282
Katsuwonus pelamis,Coast of India ,Port Blair ,SKJCIO,Katsuwonus pelamis,Skipjack tuna ,Menezez et al. 2012 Journal of Fish Biology 80:2198-2212,,control region ,59,580,1,NA,0.131,NA,11.41,92.43
Katsuwonus pelamis,Coast of India ,Veraval,SKJCIO,Katsuwonus pelamis,Skipjack tuna ,Menezez et al. 2012 Journal of Fish Biology 80:2198-2212,,control region ,37,580,1,NA,0.114,NA,20.53,70.26
Katsuwonus pelamis,Coast of India ,Vizag ,SKJCIO,Katsuwonus pelamis,Skipjack tuna ,Menezez et al. 2012 Journal of Fish Biology 80:2198-2212,,control region ,75,580,1,NA,0.113,NA,17.42,83.2
Katsuwonus pelamis,Republic of Maldives,Maldives,SKJCIO,Katsuwonus pelamis,Skipjack tuna,Dammannagoda et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:210-223,2003,"ATPase 6, 14",27,540,0.649,NA,0.01,NA,4.033333333,73.0025
Katsuwonus pelamis,Srilanka,Kalmunei,SKJCIO,Katsuwonus pelamis,Skipjack tuna,Dammannagoda et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:210-223,2003,"ATPase 6, 11",54,540,0.797,NA,0.011,NA,7,82.03583333
Katsuwonus pelamis,Srilanka,Laccadive,SKJCIO,Katsuwonus pelamis,Skipjack tuna,Dammannagoda et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:210-223,2003,"ATPase 6, 13",48,540,0.733,NA,0.007,NA,11.00027778,72.05027778
Katsuwonus pelamis,Srilanka,Negombo,SKJCIO,Katsuwonus pelamis,Skipjack tuna,Dammannagoda et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:210-223,2003,"ATPase 6, 8 ",53,540,0.706,NA,0.005,NA,6.001388889,79.01888889
Katsuwonus pelamis,Srilanka,Tangalle,SKJCIO,Katsuwonus pelamis,Skipjack tuna,Dammannagoda et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:210-223,2003,"ATPase 6, 10",41,540,0.431,NA,0.002,NA,5.001111111,81.01777778
Katsuwonus pelamis,Srilanka,Trincomalee,SKJCIO,Katsuwonus pelamis,Skipjack tuna,Dammannagoda et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:210-223,2003,"ATPase 6, 12",49,540,0.669,NA,0.005,NA,8.305896,81.940545
Katsuwonus pelamis,Srilanka,Weligama,SKJCIO,Katsuwonus pelamis,Skipjack tuna,Dammannagoda et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:210-223,2003,"ATPase 6, 9",52,540,0.8,NA,0.006,NA,5.000833333,80.01888889
Lepidorhombus boscii,France,Western Coast,NA,Lepidorhombus boscii,Four-spotted megrim,Campo & Garcia-Vazquez. 2010 Journal of Sea Research 64:360äóñ368,2001,control region,30,438,0.8391,0.065,0.0043,NA,46,-5
Lepidorhombus boscii,Ireland,Southern Ireland,NA,Lepidorhombus boscii,Four-spotted megrim,Campo & Garcia-Vazquez. 2010 Journal of Sea Research 64:360äóñ368,2001,control region,34,438,0.8556,0.0588,0.0045,NA,50,-10
Lepidorhombus boscii,Mediterranean,Aegean Sea,NA,Lepidorhombus boscii,Four-spotted megrim,Campo & Garcia-Vazquez. 2010 Journal of Sea Research 64:360äóñ368,2001,control region,30,438,0.7379,0.0686,0.0026,NA,37.8,25.4
Lepidorhombus boscii,Portugal,Atlantic,FMEG8c9a,Lepidorhombus boscii,Four-spotted megrim,Campo & Garcia-Vazquez. 2010 Journal of Sea Research 64:360äóñ368,2001,control region,34,438,0.9091,0.0412,0.0046,NA,39,-10
Lepidorhombus boscii,Spain,Cantabric Sea,FMEG8c9a,Lepidorhombus boscii,Four-spotted megrim,Campo & Garcia-Vazquez. 2010 Journal of Sea Research 64:360äóñ368,2001,control region,35,438,0.805,0.0642,0.0034,NA,44,-6
Lutjanus analis,USA,Florida Keys,MUTSNAPSATLCGM,Lutjanus analis,Mutton snapper,Carson et al. 2011 Fishery Bulletin 109:416-428,2008,ND4,27,590,0.835,NA,0.003,NA,25.08333333,-82
Lutjanus analis,USA,Puerto Rico-East,NA,Lutjanus analis,Mutton snapper,Carson et al. 2011 Fishery Bulletin 109:416-428,2008,ND4,29,590,0.873,NA,0.004,NA,18.280709,-65.493566
Lutjanus analis,USA,Puerto Rico-West,NA,Lutjanus analis,Mutton snapper,Carson et al. 2011 Fishery Bulletin 109:416-428,2008,ND4,25,590,0.818,NA,0.004,NA,18.201153,-67.292577
Lutjanus analis,USA,St. Croix,NA,Lutjanus analis,Mutton snapper,Carson et al. 2011 Fishery Bulletin 109:416-428,2008,ND4,27,590,0.835,NA,0.003,NA,17.712963,-64.971488
Lutjanus analis,USA,St. Thomas,NA,Lutjanus analis,Mutton snapper,Carson et al. 2011 Fishery Bulletin 109:416-428,2008,ND4,26,590,0.818,NA,0.004,NA,18.296557,-64.975218
Makaira nigricans,Ghana,Eastern Atlantic,BMARLINATL,Makaira nigricans,Blue marlin,McDowell et al. 2007 Gulf and Caribbean Research 19:75-82,1998,control region,18,904,0.993,NA,0.121,NA,5.8,1.188582
Makaira nigricans,Jamaica,Caribeean Sea,BMARLINATL,Makaira nigricans,Blue marlin,McDowell et al. 2007 Gulf and Caribbean Research 19:75-82,1998,control region,11,904,1,NA,0.129,NA,18.2,-75.998842
Makaira nigricans,USA,"Western North Atlantic, US mid-Atlantic",BMARLINATL,Makaira nigricans,Blue marlin,McDowell et al. 2007 Gulf and Caribbean Research 19:75-82,1997,control region,15,904,1,NA,0.115,NA,41.112,-69.688391
Merluccius bilinearis,USA,Mb-CN,SHAKEGOMNGB,Merluccius bilinearis,North American hakes ,Machado-Schiaffino et al. 2010 Molecular Phylogenetics and Evolution 55:552-558,2003,control region,117,900,0.827,NA,0.0044,NA,41.87,-69
Merluccius bilinearis,USA,Mb-CS,SHAKESGBMATL,Merluccius bilinearis,North American hakes ,Machado-Schiaffino et al. 2010 Molecular Phylogenetics and Evolution 55:552-558,2003,control region,32,900,0.699,NA,0.0029,NA,39.5,-72
Merluccius bilinearis,USA,Mb-N,SHAKEGOMNGB,Merluccius bilinearis,North American hakes ,Machado-Schiaffino et al. 2010 Molecular Phylogenetics and Evolution 55:552-558,2003,control region,29,900,0.855,NA,0.0047,NA,43,-66.5
Merluccius bilinearis,USA,Mb-S,SHAKESGBMATL,Merluccius bilinearis,North American hakes ,Machado-Schiaffino et al. 2010 Molecular Phylogenetics and Evolution 55:552-558,2003,control region,30,900,0.637,NA,0.0024,NA,37.5,-74
Merluccius capensis,Namibia,Namibia,CHAKESA,Merluccius capensis,Shallow-water Cape hake,von der Heyden Lipinski Matthee 2007,2005,control region,74,414,0.87,NA,0.0057,NA,-27.5,14.809363
Merluccius capensis,South Africa,SA1,CHAKESA,Merluccius capensis,Shallow-water Cape hake,von der Heyden Lipinski Matthee 2007,2005,control region,157,414,0.88,NA,0.006,NA,-30,16.523231
Merluccius capensis,South Africa,SA2,CHAKESA,Merluccius capensis,Shallow-water Cape hake,von der Heyden Lipinski Matthee 2007,2005,control region,81,414,0.85,NA,0.0053,NA,-33.5,17.621864
Merluccius paradoxus,Namibia,Namibia,DEEPCHAKESA,Merluccius paradoxus,Deep-water Cape hake ,von der Heyden Lipinski Matthee 2007,2005,control region,56,414,0.57,NA,0.0015,NA,-28,15.018104
Merluccius paradoxus,South Africa,SA2B,DEEPCHAKESA,Merluccius paradoxus,Deep-water Cape hake ,von der Heyden Lipinski Matthee 2007,2005,control region,143,414,0.52,NA,0.0013,NA,-33.5,17.731727
Merluccius paradoxus,South Africa ,SA1B,DEEPCHAKESA,Merluccius paradoxus,Deep-water Cape hake ,von der Heyden Lipinski Matthee 2007,2005,control region,134,414,0.44,NA,0.0011,NA,-30,16.31449
Microstomus pacificus,USA,"Cape Mendocino, Northern California",DSOLEPCOAST,Microstomus pacificus,Dover sole,Stepien 1999,,control region,19,471,0.98,NA,0.011,NA,39.968959,-124.10437
Microstomus pacificus,USA,"Seward, Bering Sea, Alaska",DSOLEGA,Microstomus pacificus,Dover sole,Stepien 1999,,control region,17,471,1,NA,0.015,NA,58.64,-150.5
Ophiodon elongatus,USA,"Bodega Bay, California",LINGCODSPCOAST,Ophiodon elongatus,Lingcod,Markos Rogers-Bennet Dennis 2007,2000,cytochrome-c oxidase I,47,548,NA,NA,0.003,NA,38.334,-123.096967
Ophiodon elongatus,USA,"Eureka, California",LINGCODSPCOAST,Ophiodon elongatus,Lingcod,Markos Rogers-Bennet Dennis 2007,2000,cytochrome-c oxidase I,40,548,NA,NA,0.003,NA,40.820319,-124.225185
Ophiodon elongatus,USA,"Kodiak Island, Alaska",NA,Ophiodon elongatus,Lingcod,Markos Rogers-Bennet Dennis 2007,1999,cytochrome-c oxidase I,6,548,NA,NA,0.004,NA,57.017,-152.806854
Ophiodon elongatus,USA,"Monterey Bay, California",LINGCODSPCOAST,Ophiodon elongatus,Lingcod,Markos Rogers-Bennet Dennis 2007,2000,cytochrome-c oxidase I,12,548,NA,NA,0.004,NA,36.614,-122.153004
Ophiodon elongatus,USA,"Point Defiance, Washington",LINGCODNPCOAST,Ophiodon elongatus,Lingcod,Markos Rogers-Bennet Dennis 2007,1999,cytochrome-c oxidase I,15,548,NA,NA,0.004,NA,47.413,-122.377085
Ophiodon elongatus,USA,"San Francisco, California",LINGCODSPCOAST,Ophiodon elongatus,Lingcod,Markos Rogers-Bennet Dennis 2007,2000,cytochrome-c oxidase I,30,548,NA,NA,0.003,NA,37.818,-122.544719
Ophiodon elongatus,USA,"San Juan Islands, Washington",LINGCODNPCOAST,Ophiodon elongatus,Lingcod,Markos Rogers-Bennet Dennis 2007,1999,cytochrome-c oxidase I,20,548,NA,NA,0.002,NA,48.517,-122.953711
Ophiodon elongatus,USA,"Straits of Juan de Fuca, Washington",LINGCODNPCOAST,Ophiodon elongatus,Lingcod,Markos Rogers-Bennet Dennis 2007,1999,cytochrome-c oxidase I,16,548,NA,NA,0.001,NA,48.316,-123.28435
Pagrus major,Japan ,central Kagoshima Bay ,RBRMECS,Pagrus major,Red seabream ,Hamasaki et al. 2010 Journal of Fish Biology 77:2123-2136,2003,control region,86,495,0.99,0.005,0.025,0.013,31.3833,130.6609
Pagrus major,Japan ,East China Sea ,RBRMECS,Pagrus major,Red seabream ,Hamasaki et al. 2010 Journal of Fish Biology 77:2123-2136,2003,control region,86,495,0.996,0.003,0.026,0.013,31.6427,130.2557
Pagrus major,Japan ,inner Kagoshima Bay ,RBRMECS,Pagrus major,Red seabream ,Hamasaki et al. 2010 Journal of Fish Biology 77:2123-2136,2003,control region,58,495,0.96,0.012,0.023,0.012,31.6629,130.7021
Pagrus major,Japan ,Shibushi Bay ,RBRMECS,Pagrus major,Red seabream ,Hamasaki et al. 2010 Journal of Fish Biology 77:2123-2136,2003,control region,63,495,0.996,0.004,0.026,0.013,31.3924,131.1111
Pagrus pagrus,"Greece, Eastern North Atlantic/Mediterranean",Mediterranean/Crete,NA,Pagrus pagrus,Red porgy,Ball et al. 2007 Mar Biol 150:1321-1332,1994,control region,48,526,0.997,NA,0.014,NA,35.201,21.953582
Pagrus pagrus,"Morocco, Eastern North Atlantic/Mediterranean",Madeira,NA,Pagrus pagrus,Red porgy,Ball et al. 2007 Mar Biol 150:1321-1332,1997-1998,control region,43,526,0.995,NA,0.014,NA,32.88,-9.930182
Pagrus pagrus,"Portugal, Eastern North Atlantic/Mediterranean",Azores,NA,Pagrus pagrus,Red porgy,Ball et al. 2007 Mar Biol 150:1321-1332,1997-1998,control region,32,526,1,NA,0.013,NA,37.85,-26.533325
Pagrus pagrus,USA,Gulf of Mexico/Louisiana,NA,Pagrus pagrus,Red porgy,Ball et al. 2007 Mar Biol 150:1321-1332,1999,control region,46,526,0.987,NA,0.01,NA,29.9,-88.535012
Pagrus pagrus,USA,"Gulf of Mexico/Panama City, FL",NA,Pagrus pagrus,Red porgy,Ball et al. 2007 Mar Biol 150:1321-1332,2003,control region,20,526,0.984,NA,0.008,NA,30.155,-85.857669
Pagrus pagrus,"USA, Western North Atlantic",Georgia,RPORGYSATLC,Pagrus pagrus,Red porgy,Ball et al. 2007 Mar Biol 150:1321-1332,2000-2002,control region,20,526,1,NA,0.008,NA,31.5,-80.844436
Pagrus pagrus,"USA, Western North Atlantic",North Carolina,RPORGYSATLC,Pagrus pagrus,Red porgy,Ball et al. 2007 Mar Biol 150:1321-1332,1999-2002,control region,49,526,0.991,NA,0.011,NA,34.5,-76.254793
Pagrus pagrus,"USA, Western North Atlantic",South Carolina,RPORGYSATLC,Pagrus pagrus,Red porgy,Ball et al. 2007 Mar Biol 150:1321-1332,1996-2002,control region,60,526,0.996,NA,0.01,NA,33,-78.7278
Paralichthys olivaceus,Japan,AKT,OFLOUNNSJ,Paralichthys olivaceus,Bastard halibut,Shigenobu et. al 2007 Fisheries Science 73:1104-1112,2003,ND2 and ND5,45,2871,0.999,0.000745356,0.0084,0.000626099,40.039948,139.859418
Paralichthys olivaceus,Japan,CHB,OFLOUNPAC,Paralichthys olivaceus,Bastard halibut,Shigenobu et. al 2007 Fisheries Science 73:1104-1112,2003,ND2 and ND5,74,2871,0.9979,0.000116248,0.0083,0.000476615,35.8,140.8
Paralichthys olivaceus,Japan,EHM,OFLOUNSETO,Paralichthys olivaceus,Bastard halibut,Shigenobu et. al 2007 Fisheries Science 73:1104-1112,2003/2004,ND2 and ND5,112,2871,0.9968,0.000179533,0.0079,0.000368515,34,133.1
Paralichthys olivaceus,Japan,FKI,OFLOUNNSJ,Paralichthys olivaceus,Bastard halibut,Shigenobu et. al 2007 Fisheries Science 73:1104-1112,2003,ND2 and ND5,126,2871,0.9933,0.000712697,0.0083,0.000374166,35.824251,135.448315
Paralichthys olivaceus,Japan,HKD,OFLOUNNSJ,Paralichthys olivaceus,Bastard halibut,Shigenobu et. al 2007 Fisheries Science 73:1104-1112,2003/2005,ND2 and ND5,55,2871,0.9987,0.000512392,0.008,0.000525876,43.185983,140.28327
Paralichthys olivaceus,Japan,KGS,OFLOUNECS,Paralichthys olivaceus,Bastard halibut,Shigenobu et. al 2007 Fisheries Science 73:1104-1112,2004,ND2 and ND5,64,2871,0.996,0.000525,0.0082,5.00E-04,31.78,129.98
Paralichthys olivaceus,Japan,MYG,OFLOUNPAC,Paralichthys olivaceus,Bastard halibut,Shigenobu et. al 2007 Fisheries Science 73:1104-1112,2003,ND2 and ND5,39,2871,0.998,0.000208167,0.008,0.0006245,37.199453,141.037079
Paralichthys olivaceus,Japan,NGS,OFLOUNECS,Paralichthys olivaceus,Bastard halibut,Shigenobu et. al 2007 Fisheries Science 73:1104-1112,2005,ND2 and ND5,42,2871,0.9988,0.000848668,0.0085,0.000648074,32.7,129.5
Paralichthys olivaceus,Japan,TTR,OFLOUNNSJ,Paralichthys olivaceus,Bastard halibut,Shigenobu et. al 2007 Fisheries Science 73:1104-1112,2003/2004,ND2 and ND5,165,2871,0.9981,0.000210195,0.0083,0.000319185,35.596775,133.706866
Paralichthys olivaceus,Yellow Sea and East China Sea,Qindao,OFLOUNECS,Paralichthys olivaceus,Japanese flounder ,Li et al 2011 African Journal of Biotechnology 10(60):12833-12839,2006,cytochrome c oxidase subunit I,50,528,0.746,NA,0.00334,NA,36.15,120.6333333
Paralichthys olivaceus,Yellow Sea and East China Sea,Zhoushan,OFLOUNECS,Paralichthys olivaceus,Japanese flounder ,Li et al 2011 African Journal of Biotechnology 10(60):12833-12839,2008,cytochrome c oxidase subunit I,50,528,0.712,NA,0.00318,NA,30.13333333,122.5
Reinhardtius hippoglossoides,Canada,Davis Strait,GHAL01ABCDEF,Reinhardtius hippoglossoides,Greenland halibut,Vis et al. 1997,,cytochrome b,40,401,0.7266,NA,0.002969,NA,61.56,-61.63
Reinhardtius hippoglossoides,Canada,Estuary of Gulf of St. Lawrence,GHAL4RST,Reinhardtius hippoglossoides,Greenland halibut,Vis et al. 1997,,cytochrome b,40,401,0.6975,NA,0.002516,NA,48.98,-67
Reinhardtius hippoglossoides,Canada,Northeastern Newfoundland continental shelf (Northeast Slope),GHAL23KLMNO,Reinhardtius hippoglossoides,Greenland halibut,Vis et al. 1997,,cytochrome b,40,401,0.7304,NA,0.002799,NA,56.705,-50.91666667
Reinhardtius hippoglossoides,Greenland,Flemish Pass,GHAL01ABCDEF,Reinhardtius hippoglossoides,Greenland halibut,Vis et al. 1997,,cytochrome b,40,401,0.6342,NA,0.001986,NA,60,-47
Reinhardtius hippoglossoides,Greenland,Northwestern Greenland at  Jakobshavn fjord,GHAL01ABCDEF,Reinhardtius hippoglossoides,Greenland halibut,Vis et al. 1997,,cytochrome b,40,401,0.7051,NA,0.0025,NA,70,-52
Reinhardtius hippoglossoides,Iceland,Western Iceland,NA,Reinhardtius hippoglossoides,Greenland halibut,Vis et al. 1997,,cytochrome b,40,401,0.6734,NA,0.002391,NA,65.267,-21.98083333
Reinhardtius hippoglossoides,Norway,Bear Island north of Norway,GHALNEAR,Reinhardtius hippoglossoides,Greenland halibut,Vis et al. 1997,,cytochrome b,40,401,0.6759,NA,0.002558,NA,73.283,19.00027778
Sardinops sagax,Australia,Southern Australia,NA,Sardinops sagax,South American pilchard,Bowen & Grant 1997,1985,control region,15,500,1,NA,0.017,NA,-37.16,125
Sardinops sagax,Chile,Iquique,NA,Sardinops sagax,South American pilchard,Bowen & Grant 1997,1991,control region,18,500,1,NA,0.025,NA,-20.468,-69.98194444
Sardinops sagax,Japan,Pacific Coast of Hokkaido,PILCHPJPN,Sardinops sagax,South American pilchard,Bowen & Grant 1997,1983,control region,18,500,0.961,NA,0.009,NA,42.180139,141.758301
Sardinops sagax,Mexico ,Bahia Magdalena ,SARDPCOAST,Sardinops sagax,South American pilchard ,Garcia-Rodriguez et al. 2011 Fisheries Research 107:169-176,2007,control region,33,500,0.992,0.0104,0.018015,0.009465,23.5,-112
Sardinops sagax,Mexico ,Bahia Magdalena ,SARDPCOAST,Sardinops sagax,South American pilchard ,Garcia-Rodriguez et al. 2011 Fisheries Research 107:169-176,2006,control region,73,500,1,0.0023,0.017029,0.008828,24.5,-112
Sardinops sagax,Mexico ,Ensenada ,SARDPCOAST,Sardinops sagax,South American pilchard ,Garcia-Rodriguez et al. 2011 Fisheries Research 107:169-176,2007,control region,47,500,0.991,0.0064,0.018709,0.00971,30.875142,-116.524597
Sardinops sagax,South Africa,"West coast, Cape Town",SARDSA,Sardinops sagax,South American pilchard,Bowen & Grant 1997,1991,control region,15,500,1,NA,0.018,NA,-34.452,18.035
Sardinops sagax,USA,"San Diego, Southern California",SARDPCOAST,Sardinops sagax,South American pilchard,Bowen & Grant 1997,1983,control region,15,500,1,NA,0.03,NA,32.713484,-117.377174
Scomber australasicus,Egypt,"Sinai Peninsula south, Red Sea",NA,Scomber australasicus,Blue mackerel,Scoles Collette Graves 1998,,cytochrome b,15,418,0.95,NA,0.0041,NA,27.528,33.13416667
Scomber australasicus,Japan,Tokyo,BMACKPJPN,Scomber australasicus,Blue mackerel,Scoles Collette Graves 1998,,cytochrome b,21,418,0.81,NA,0.003,NA,35.205047,139.360401
Scomber australasicus,Mexico,Revillagigedo Islands,NA,Scomber australasicus,Blue mackerel,Scoles Collette Graves 1998,,cytochrome b,20,418,0.59,NA,0.0013,NA,18.896,-111.8816667
Scomber australasicus,New Zealand,Wellington,NA,Scomber australasicus,Blue mackerel,Scoles Collette Graves 1998,,cytochrome b,19,418,0.75,NA,0.0077,NA,-41.277,174.1186111
Scomber australasicus,Taiwan,ECS,BMACKECS,Scomber australasicus,Blue mackerel,Tzeng 2007 Zoological Studies 46(6):656-663,2003,control region,33,866,0.991,0.001914854,0.0073,8.70E-05,26,123
Scomber australasicus,Taiwan,ILAN,BMACKECS,Scomber australasicus,Blue mackerel,Tzeng 2007 Zoological Studies 46(6):656-663,2003,control region,31,866,0.994,0.001975658,0.0075,8.98E-05,24.8,122
Scomber australasicus,Taiwan,LY,BMACKECS,Scomber australasicus,Blue mackerel,Tzeng 2007 Zoological Studies 46(6):656-663,2003,control region,31,866,0.996,0.016164477,0.0061,0.000107763,22.4,119.9
Scomber australasicus,Taiwan,SCS,NA,Scomber australasicus,Blue mackerel,Tzeng 2007 Zoological Studies 46(6):656-663,2003,control region,31,866,0.998,0.016164477,0.0069,0.000107763,21,118
Scomber australasicus,Taiwan,TT,BMACKECS,Scomber australasicus,Blue mackerel,Tzeng 2007 Zoological Studies 46(6):656-663,2003,control region,31,866,0.994,0.001975658,0.0068,0.000107763,22.8,121.5
Scomber japonicus,Argentina,Mar del Plata,NA,Scomber japonicus,Chub mackerel,Scoles Collette Graves 1998,,cytochrome b,18,418,0.9,NA,0.005,NA,-37.996,-56.91527778
Scomber japonicus,Cote d'Ivoire,"Abidjan, Ivory Coast",NA,Scomber japonicus,Chub mackerel,Scoles Collette Graves 1998,,cytochrome b,20,418,0.91,NA,0.0039,NA,5.315,-3.999166667
Scomber japonicus,Israel,Meditteranean coast of Israel,NA,Scomber japonicus,Chub mackerel,Scoles Collette Graves 1998,,cytochrome b,20,418,0.9,NA,0.0038,NA,32.027,35
Scomber japonicus,Japan,Tokyo,CMACKPJPN,Scomber japonicus,Chub mackerel,Scoles Collette Graves 1998,,cytochrome b,20,418,0.88,NA,0.0035,NA,35.10383,139.37688
Scomber japonicus,Portugal,POR,NA,Scomber japonicus,Chub mackerel,Tzeng et. al 2007 Journal of the Fisheries Society of Taiwan 34(3):237-245,,control region,10,865,1,0.014230249,0.0111,9.49E-05,42.5,-8.9
Scomber japonicus,South African,Cape Town,NA,Scomber japonicus,Chub mackerel,Scoles Collette Graves 1998,,cytochrome b,20,418,0.81,NA,0.0038,NA,-33.8,18.06722222
Scomber japonicus,Taiwan,Kaoshing,NA,Scomber japonicus,Chub mackerel,Scoles Collette Graves 1998,,cytochrome b,20,418,0.86,NA,0.0029,NA,22.5,120.035
Scomber japonicus,Taiwan,LY,NA,Scomber japonicus,Chub mackerel,Tzeng et. al 2007 Journal of the Fisheries Society of Taiwan 34(3):237-245,,control region,30,865,0.975,0.003103761,0.0104,0.000127802,22.2,120.2
Scomber japonicus,Taiwan,PJ,NA,Scomber japonicus,Chub mackerel,Tzeng et. al 2007 Journal of the Fisheries Society of Taiwan 34(3):237-245,,control region,30,865,0.956,0.004929503,0.0106,9.13E-05,25.5,122.5
Scomber japonicus,Taiwan,TTR,NA,Scomber japonicus,Chub mackerel,Tzeng et. al 2007 Journal of the Fisheries Society of Taiwan 34(3):237-245,,control region,30,865,0.97,0.003286335,0.0103,9.13E-05,23,121.5
Scomber japonicus,USA,"Panama City, Florida",NA,Scomber japonicus,Chub mackerel,Scoles Collette Graves 1998,,cytochrome b,20,418,0.93,NA,0.004,NA,30.156,-84.89833333
Scomber japonicus,USA,San Diego,CMACKPCOAST,Scomber japonicus,Chub mackerel,Scoles Collette Graves 1998,,cytochrome b,20,418,0.64,NA,0.0014,NA,32.642471,-117.293404
Scomber scombrus,Canada,Gulf of St. Lawrence,NA,Scomber scombrus,Atlantic mackerel,de Souza et al. 2006,2001,control region,16,316,0.992,NA,0.026,NA,48.2,-63.25
Scomber scombrus,Canada,Gulf of St. Lawrence,NA,Scomber scombrus,Atlantic mackerel,de Souza et al. 2006,1998,control region,21,316,0.986,NA,0.027,NA,48.46666667,-63.73694444
Scomber scombrus,UK,Plymouth,MACKNEICES,Scomber scombrus,Atlantic mackerel,Scoles Collette Graves 1998,,cytochrome b,20,418,0.28,NA,7.00E-04,NA,50.214335,-4.0399
Scomber scombrus,USA,"Boston, Massachusetts",MACKGOMCHATT,Scomber scombrus,Atlantic mackerel,Scoles Collette Graves 1998,,cytochrome b,20,418,0.85,NA,0.0029,NA,42.32,-70.99861111
Scomber scombrus,USA,Gulf of Maine,MACKGOMCHATT,Scomber scombrus,Atlantic mackerel,de Souza et al. 2006,1998,control region,19,316,0.982,NA,0.028,NA,44.28861111,-67.58194444
Scomber scombrus,USA,North Carolina,MACKGOMCHATT,Scomber scombrus,Atlantic mackerel,de Souza et al. 2006,2001,control region,20,316,0.989,NA,0.029,NA,36.835,-74.62833333
Scomberomorus cavalla,Brazil,Braganca,NA,Scomberomorus cavalla,King mackerel,Santa Brigida et. al 2007 Brazilian Journal of Biology 67(4):919-924,,D-loop,23,380,0.545,0.021685499,0.003,0.000417029,-0.71,-46.53
Scomberomorus cavalla,Brazil,Fortaleza,NA,Scomberomorus cavalla,King mackerel,Santa Brigida et. al 2007 Brazilian Journal of Biology 67(4):919-924,,D-loop,24,380,0.735,0.017758801,0.005,0.000612372,-3.6,-38.4
